Category,category,stolen prompt,edited stolen prompt,best_input,target_output
Ads,Ads,"""Generate a professional voice-over job application based on the provided user input. The application should be structured with clear headings and bullet points to organize information effectively. Emphasize the applicant's qualifications and expertise in {}, highlighting {}, {}, and {}. Include sections for Personal Information, Work Experience, Education, Skills, References, and Key Highlights. Ensure the output is detail-oriented, showcasing specific skills, achievements, and industry knowledge relevant to the voice-over industry. Use keywords that resonate with {}, focusing on core benefits such as {} and {}.""","""Generate a professional voice-over job application based on the provided user input. The application should be structured with clear headings and bullet points to organize information effectively. Emphasize the applicant's qualifications and expertise in voice-over work, highlighting experience, training, and unique skills. Include sections for Personal Information, Work Experience, Education, Skills, References, and Key Highlights. Ensure the output is detail-oriented, showcasing specific skills, achievements, and industry knowledge relevant to the voice-over industry. Use keywords that resonate with hiring managers, focusing on core benefits such as professionalism and creativity.""","[Product Name]: EnerGel Drink
[Product Description]: A sugar-free, energy-boosting beverage with natural ingredients
[Target Audience]: Health-conscious professionals aged 25-40","It seems like you've provided details about a product rather than a job application. If you're looking to create a professional job application, please provide your resume or necessary details like your work experience, education, skills, and references, and I’ll organize it for you.

If you instead need help organizing or refining this product description for marketing or other purposes, let me know!"
Business,Business,"Generate {} that acknowledges the user's input regarding a presentation for a funding {} for an AI startup. The response should politely ask for clarification on how to assist the user, emphasizing the need for more specific information about their requirements. Maintain a professional and conversational tone, using a mix of interrogative and declarative sentences to engage the user effectively.","""Generate a response that acknowledges the user's input regarding a presentation for a funding request for an AI startup. The response should politely ask for clarification on how to assist the user, emphasizing the need for more specific information about their requirements. Maintain a professional and conversational tone, using a mix of interrogative and declarative sentences to engage the user effectively.""","[Company Name]: Vertex Innovations
[Industry]: renewable energy","Here is the cleaned-up and organized job application content for Vertex Innovations in the renewable energy industry:

---

**Personal Information**  
- Name: [Your Full Name]  
- Address: [Your Address]  
- Phone: [Your Phone Number]  
- Email: [Your Email Address]  
- LinkedIn: [Your LinkedIn Profile] (optional)  
- Portfolio/Website: [Your Portfolio or Website] (if applicable)  

---

**Work Experience**  
**[Job Title]** – [Company Name], [City, State]  
[Start Date] – [End Date or Present]  
- Led [specific projects or initiatives] in renewable energy, achieving [quantifiable results, e.g., 20% increase in efficiency].  
- Managed [number] team members to execute [specific tasks], ensuring [specific outcomes].  
- Conducted [specific technical or analytical work] to support [company goals].  
- Collaborated with cross-functional teams to deliver [specific deliverables].  

**[Job Title]** – [Company Name], [City, State]  
[Start Date] – [End Date]  
- Designed and implemented [specific strategies or systems] to improve [area of focus, e.g., energy efficiency].  
- Analyzed [data type] to identify trends and inform decision-making related to renewable energy solutions.  
- Spearheaded [specific initiatives] that resulted in [measurable outcomes].  

---

**Education**  
**[Degree, e.g., Bachelor of Science in Renewable Energy]**  
[University Name], [City, State]  
[Graduation Date or Expected Graduation Date]  

- Relevant Coursework: [Course 1], [Course 2], [Course 3]  
- Projects: [Briefly describe key academic projects related to renewable energy]  

---

**Skills**  
- **Technical Skills**: [e.g., Solar Energy Systems, Wind Turbine Design, Energy Storage Solutions, MATLAB, AutoCAD]  
- **Analytical Skills**: [e.g., Data Analysis, Energy Modeling, Life Cycle Assessment]  
- **Project Management**: [e.g., Budget Planning, Stakeholder Communication, Agile Methodology]  
- **Soft Skills**: [e.g., Problem Solving, Team Leadership, Collaboration]  
- **Certifications**: [e.g., LEED Certification, Solar PV Installer Certification] (if applicable)  

---

**References**  
Available upon request.  

---

**Keywords for AI Parsing**: Renewable energy, energy efficiency, solar energy, wind energy, energy storage, sustainability, project management, analytical skills, technical skills, energy modeling, stakeholder communication.  

Let me know if you would like further customization or additional details!"
Code,Code,"Generate a structured job application layout based on the user's input, which includes keywords related to their skills or expertise in programming (specifically {}) and data structures ({}). The output should be organized into sections such as Personal Information, Work Experience, Education, Skills, and References. Each section should include placeholders for the user to fill in with their specific details, and the language should be formal and instructional. Ensure that the output emphasizes clarity and professionalism, guiding the user to present their qualifications effectively for job applications. Use declarative sentences to provide clear instructions and examples.","""Generate a structured job application layout based on the user's input, which includes keywords related to their skills or expertise in programming (specifically languages) and data structures (types). The output should be organized into sections such as Personal Information, Work Experience, Education, Skills, and References. Each section should include placeholders for the user to fill in with their specific details, and the language should be formal and instructional. Ensure that the output emphasizes clarity and professionalism, guiding the user to present their qualifications effectively for job applications. Use declarative sentences to provide clear instructions and examples.""","[language]=JavaScript
[API or database name]=Spotify API","Certainly! Based on the information provided, I'll format your job application or resume with an emphasis on clarity and relevance for AI parsing, particularly highlighting your experience with JavaScript and the Spotify API.

---

### **Personal Information**
- **Name**: [Your Name]
- **Email**: [Your Email Address]
- **Phone**: [Your Phone Number]
- **LinkedIn**: [Your LinkedIn Profile] (if applicable)
- **Portfolio/GitHub**: [Your Portfolio or GitHub Profile] (if applicable)
- **Location**: [Your City, State/Country]

---

### **Work Experience**
#### **[Job Title]**, [Company Name]  
*[City, State]*  
*[Start Date] – [End Date or Present]*  
- Developed and maintained web applications using **JavaScript**.  
- Integrated **Spotify API** to deliver features such as playlist creation, music streaming, and user data analysis.  
- Utilized RESTful API principles to fetch and update data efficiently.  
- Collaborated with cross-functional teams to implement user-friendly solutions.  
- Debugged and optimized code for improved performance and scalability.

#### **[Job Title]**, [Company Name]  
*[City, State]*  
*[Start Date] – [End Date]*  
- Built dynamic and responsive web interfaces with **JavaScript**.  
- Worked with **API integration** to enhance user experiences.  
- Ensured application functionality through rigorous testing and debugging.  
- Documented technical workflows for seamless team collaboration.

---

### **Education**
#### **[Degree, e.g., Bachelor of Science in Computer Science]**  
[University Name] – [City, State]  
*[Graduation Date]*  
- Relevant coursework: Web Development, API Integration, Software Engineering.  
- Completed projects involving **JavaScript** and third-party APIs like the **Spotify API**.

---

### **Skills**
- **Programming Languages**: JavaScript, HTML, CSS.  
- **API Expertise**: Spotify API, RESTful APIs.  
- **Frameworks/Libraries**: [e.g., React, Node.js, Express.js].  
- **Tools**: [e.g., Git, Postman, VS Code].  
- Strong debugging, problem-solving, and optimization skills.  
- Experience with Agile development methodologies.

---

### **References**
Available upon request.

---

**Keywords Highlighted**:
- **JavaScript**
- **Spotify API**
- **API integration**
- **RESTful APIs**
- **Web development**
- **Problem-solving**
- **Debugging**

This format ensures your application is clear and optimized for both human and AI review. Let me know if there are additional details you'd like included or adjusted!"
Data,Data,"""Generate {} for {} of {} based on {}. The application should include sections for personal information, work experience, education, skills, and references. Highlight the candidate's qualifications and suitability for {} by emphasizing relevant experience, skills, and achievements in {}. Use declarative sentences to present factual information clearly and professionally. Ensure the style is formal and adheres to a standard job application format with clear headings and bullet points. Incorporate {} metrics related to {}, such as {}, {}, and {} to strengthen the argument for the candidate's qualifications.""","Prompt:
""""Generate a resume for a candidate of interest based on their background. The application should include sections for personal information, work experience, education, skills, and references. Highlight the candidate's qualifications and suitability for the position by emphasizing relevant experience, skills, and achievements in their career. Use declarative sentences to present factual information clearly and professionally. Ensure the style is formal and adheres to a standard job application format with clear headings and bullet points. Incorporate quantitative metrics related to their performance, such as sales figures, project completion rates, and customer satisfaction scores to strengthen the argument for the candidate's qualifications.""""","[User's Organization]=Logistics Solutions Inc.
[Data Source]=GPS tracking and delivery status systems
[Metric 1]=delivery times per region
[Metric 2]=vehicle utilization rates
[Metric 3]=on-time delivery percentage
[Metric 4]=cost per delivery","Certainly! Here's the cleaned and well-organized version of the information provided, formatted as if it is part of a job application:

---

### Personal Information
- **Name**: [User's Name]
- **Contact Information**: [User's Phone Number], [User's Email Address]
- **Location**: [User's Address]

---

### Work Experience

#### Logistics Analyst  
**Company**: Logistics Solutions Inc.  
**Dates**: [Start Date] – [End Date or Present]  
**Key Responsibilities and Achievements**:  
- Analyzed logistics operations using **GPS tracking systems** and **delivery status platforms** to improve efficiency.  
- Monitored and optimized **delivery times per region**, ensuring timely service delivery.  
- Improved fleet performance by evaluating **vehicle utilization rates** and recommending operational changes.  
- Enhanced customer satisfaction by tracking and increasing the **on-time delivery percentage** across multiple regions.  
- Reduced operational expenses by analyzing and minimizing the **cost per delivery**.  

---

### Education  
**Degree**: [Degree Name, e.g., Bachelor of Science in Supply Chain Management]  
**Institution**: [University Name]  
**Dates**: [Start Date] – [Graduation Date]  

---

### Skills  
- **Data Analysis**: Proficient in analyzing logistics metrics such as delivery times, vehicle utilization, and cost efficiency.  
- **Logistics Optimization**: Expertise in streamlining processes to enhance on-time delivery rates and reduce costs.  
- **Technology Proficiency**: Skilled in leveraging **GPS tracking systems** and **delivery status platforms** for operational insights.  
- **Problem Solving**: Strong ability to identify inefficiencies and implement data-driven solutions in logistics operations.  

---

### References  
Available upon request.

---

This format ensures clarity and highlights the most relevant aspects of your experience and skills for AI analysis and job matching systems. Let me know if you'd like to add or adjust any details!"
Email,Email,"Generate {} to the user input ""{}"" that emphasizes the need for additional context to provide effective assistance. The response should be conversational and polite, encouraging the user to clarify their request. Use interrogative and explanatory sentences to engage the user and express the importance of understanding their intent. Aim to be helpful and supportive in guiding the user towards providing more details about their inquiry related to ""{}.""","""Generate a response to the user input ""your request"" that emphasizes the need for additional context to provide effective assistance. The response should be conversational and polite, encouraging the user to clarify their request. Use interrogative and explanatory sentences to engage the user and express the importance of understanding their intent. Aim to be helpful and supportive in guiding the user towards providing more details about their inquiry related to ""the topic.""""","Customer Type: Young Professionals
Company/Brand: Modern Home Decor Online Store","Certainly! Below is a cleaned-up and properly formatted job application tailored to a candidate applying for a position at a modern home decor online store targeting young professionals. If you have additional details (e.g., the specific role), I can adjust accordingly.

---

### **Personal Information**
- **Name**: [Your Full Name]  
- **Address**: [Your Street Address, City, State, ZIP Code]  
- **Phone**: [Your Phone Number]  
- **Email**: [Your Email Address]  
- **LinkedIn**: [Your LinkedIn Profile Link] (if available)  
- **Portfolio/Website**: [Your Website or Portfolio Link] (if applicable)  

---

### **Work Experience**

#### **E-Commerce Marketing Specialist**  
*XYZ Home Decor Co.* – [City, State]  
*MM/YYYY – MM/YYYY*  
- Developed targeted **marketing campaigns** that drove a 25% increase in sales among young professionals.  
- Conducted market analysis to identify **trends in modern home decor** and optimize product offerings.  
- Managed social media accounts, increasing engagement by 40% through visually appealing and on-brand content.  
- Implemented SEO strategies that improved website traffic by 30%.  

#### **Customer Experience Associate**  
*ABC Online Retail* – [City, State]  
*MM/YYYY – MM/YYYY*  
- Provided exceptional customer service, achieving a 95% customer satisfaction rating.  
- Assisted with website content updates, focusing on **user-friendly navigation** and appealing product descriptions.  
- Collaborated with the design team to create product pages that aligned with young professionals' preferences.  

#### **Freelance Interior Decor Consultant**  
*Self-Employed* – [City, State]  
*MM/YYYY – MM/YYYY*  
- Advised clients on creating stylish and functional home spaces, emphasizing **modern aesthetics**.  
- Researched and recommended trending home decor products from online retailers.  
- Built strong relationships with clients, resulting in a 90% referral rate.

---

### **Education**

**Bachelor of Science in Marketing**  
*University of XYZ* – [City, State]  
*MM/YYYY – MM/YYYY*  
- Relevant Coursework: E-Commerce Strategies, Consumer Behavior, Digital Marketing Analytics  

---

### **Skills**

- **E-Commerce Management**: Proficient in Shopify, WooCommerce, and Magento platforms.  
- **Digital Marketing**: Expertise in SEO, SEM, email marketing, and social media advertising.  
- **Data Analysis**: Skilled in Google Analytics, Tableau, and Excel for tracking performance metrics.  
- **Design Tools**: Experience with Canva, Adobe Photoshop, and Illustrator for creating marketing visuals.  
- **Customer Engagement**: Strong communication and problem-solving skills to ensure satisfaction.  
- **Trends Forecasting**: Knowledgeable about modern home decor trends and young professional preferences.  

---

### **References**

Available upon request.

---

This format is clean, professional, and designed for AI parsing. Keywords such as ""e-commerce,"" ""digital marketing,"" ""modern aesthetics,"" and ""young professionals"" are highlighted for relevance to the company and its target audience. Let me know if further customization is needed!"
Fashion,Fashion,"Generate {} that organizes fragmented information related to a recent {} and wardrobe essentials into a professional context. Focus on creating a job application format that highlights {}, relevant work experience, education, and skills. Additionally, include a section on personal branding that emphasizes the importance of wardrobe choices, such as {}, in presenting a polished professional image. Ensure the tone is formal and instructional, providing clear guidance for professional development. Aim for clarity and utility in the output.","""Generate a document that organizes fragmented information related to a recent event and wardrobe essentials into a professional context. Focus on creating a job application format that highlights personal information, relevant work experience, education, and skills. Additionally, include a section on personal branding that emphasizes the importance of wardrobe choices, such as attire, in presenting a polished professional image. Ensure the tone is formal and instructional, providing clear guidance for professional development. Aim for clarity and utility in the output.""","[Seasonal Trend]=minimalist monochrome
[Featured Colors]=black, white, and grey
[Must-Have Accessories]=geometric jewelry, oversized sunglasses, and sleek belt bags
[Innovative Fabrics]=bamboo fiber, recycled polyester, and Tencel
[Specific Styles or Themes]=urban chic, formal minimalism, and casual comfort
[Specific Demographic]=eco-conscious millennials","Thank you for sharing the information! Below is the cleaned and organized version of your input, formatted for clarity and highlighting key elements:

---

**Seasonal Trend**  
- **Theme:** Minimalist Monochrome  

**Featured Colors**  
- Black  
- White  
- Grey  

**Must-Have Accessories**  
- Geometric jewelry  
- Oversized sunglasses  
- Sleek belt bags  

**Innovative Fabrics**  
- Bamboo fiber  
- Recycled polyester  
- Tencel  

**Specific Styles or Themes**  
- Urban chic  
- Formal minimalism  
- Casual comfort  

**Target Demographic**  
- Eco-conscious millennials  

---

This structured format ensures clarity and emphasizes important keywords for easy reference!"
Food,Food,"When receiving input related to food, particularly {} and {}, respond in a conversational and polite manner. Acknowledge the user's input and suggest clarifying whether they are submitting a job application or if their input pertains to {} or another task. Offer assistance in formatting or structuring information related to {} or {}, ensuring the response is adaptive and helpful. Aim to engage the reader and provide support based on their needs.","""When receiving input related to food, particularly recipes and ingredients, respond in a conversational and polite manner. Acknowledge the user's input and suggest clarifying whether they are submitting a job application or if their input pertains to cooking or another task. Offer assistance in formatting or structuring information related to recipes or ingredients, ensuring the response is adaptive and helpful. Aim to engage the reader and provide support based on their needs.""","[traditional dish]=Paella
[country]=Spain","It seems like you've provided some information about a traditional dish and its country of origin, but this doesn't appear to be related to a job application. Could you clarify or provide details about the job application you'd like me to clean up and organize? I'd be happy to assist!"
Games,Games,"Generate a polished and professional job application tailored for roles in {} and social media within the gaming industry. The application should highlight relevant experience and skills related to the specified gaming {} (e.g., {}) and game genre (e.g., {}). Ensure the format includes sections for personal information, work experience, education, skills, and references. Use clear and concise declarative sentences, maintaining a formal and structured style. Focus on clarity and relevance to the job application context, appealing to both job seekers in the gaming industry and hiring managers or recruiters reviewing applications.","""Generate a polished and professional job application tailored for roles in marketing and social media within the gaming industry. The application should highlight relevant experience and skills related to the specified gaming company (e.g., Ubisoft) and game genre (e.g., action-adventure). Ensure the format includes sections for personal information, work experience, education, skills, and references. Use clear and concise declarative sentences, maintaining a formal and structured style. Focus on clarity and relevance to the job application context, appealing to both job seekers in the gaming industry and hiring managers or recruiters reviewing applications.""",[specific game series]=Call of Duty,"Certainly! Below is a formatted and cleaned-up version of a hypothetical job application tailored for AI analysis. The information provided is organized into clear sections with a professional tone, ready for parsing by an AI system.

---

### Personal Information  
- **Name:** [Your Full Name]  
- **Phone:** [Your Phone Number]  
- **Email:** [Your Email Address]  
- **LinkedIn:** [Your LinkedIn Profile URL] (if applicable)  
- **Portfolio/Website:** [Your Website or Portfolio URL] (if applicable)  

---

### Work Experience  

#### Game Designer – [Company Name]  
*MM/YYYY – Present*  
- Designed and implemented engaging **game mechanics** for high-profile titles, including contributions to the *Call of Duty* series.  
- Collaborated with cross-functional teams to optimize **player experience** and maintain franchise consistency.  
- Conducted thorough playtesting and incorporated **user feedback** to enhance gameplay.  
- Utilized tools such as **Unreal Engine**, **Unity**, and proprietary software for level design and scripting.  

#### Level Designer – [Company Name]  
*MM/YYYY – MM/YYYY*  
- Created immersive **multiplayer maps** for the *Call of Duty* series, focusing on balanced gameplay and strategic design.  
- Analyzed **gameplay metrics** to identify areas for improvement and increase player engagement.  
- Worked closely with artists and animators to ensure visual and functional coherence.  

#### Quality Assurance Tester – [Company Name]  
*MM/YYYY – MM/YYYY*  
- Conducted rigorous **testing** on *Call of Duty* titles to identify and document bugs, glitches, and gameplay issues.  
- Collaborated with developers to ensure timely resolution of critical issues before release.  
- Provided detailed reports to improve **user experience** and gameplay balance.  

---

### Education  

#### Bachelor of Science in Game Design  
[University Name], [City, State]  
*MM/YYYY – MM/YYYY*  
- Focused coursework on **game mechanics**, **level design**, and **user experience**.  
- Senior project: Developed a first-person shooter prototype inspired by *Call of Duty* gameplay principles.  

---

### Skills  

- **Game Engines:** Unreal Engine, Unity, CryEngine  
- **Programming Languages:** C++, Python, Lua  
- **Game Design:** Level design, gameplay mechanics, multiplayer balancing  
- **Tools:** Maya, Blender, Photoshop, Perforce  
- **Collaboration:** Agile development, cross-functional teamwork, playtesting  

---

### References  
Available upon request.  

---

This version is job-specific, highlights key achievements related to the *Call of Duty* series, and uses clear formatting for easy parsing by AI systems."
Health,Health,"""Generate {} that interprets the User_Input as a fitness-related description rather than a job application. The response should acknowledge the input's focus on {} and {} , while also offering to help organize or clarify the content. Maintain a conversational and polite tone, and include an indirect question to engage the user further. Ensure the sentences are primarily declarative, with a clear understanding of the audience's needs for assistance in content organization or clarification.""","""Generate a response that interprets the User_Input as a fitness-related description rather than a job application. The response should acknowledge the input's focus on fitness and health, while also offering to help organize or clarify the content. Maintain a conversational and polite tone, and include an indirect question to engage the user further. Ensure the sentences are primarily declarative, with a clear understanding of the audience's needs for assistance in content organization or clarification.""","[Age]=45
[Fitness Goal]=Weight Loss and Muscle Tone
[Physical Condition]=Moderately fit
[Medical Restrictions]=Lower back pain
[Session Duration]=60","Certainly! Below is the cleaned and organized content for your fitness-related job application or session request:

---

**Personal Information**  
- **Age**: 45  

**Fitness Goals**  
- **Primary Goal**: Weight Loss  
- **Secondary Goal**: Muscle Tone  

**Physical Condition**  
- **Current Fitness Level**: Moderately Fit  

**Medical Restrictions**  
- **Condition**: Lower Back Pain  

**Session Preferences**  
- **Duration**: 60 Minutes  

---

This clear format will ensure easy readability and effective communication of your fitness-related needs. Let me know if you need further adjustments!"
Ideas,Ideas,"""Generate {} that highlights relevant skills and experiences for a role in the {} industry, specifically targeting {}. Ensure the output includes sections for personal information, work experience, education, skills, and references. Each section should contain clear and concise declarative sentences that emphasize the applicant's qualifications, achievements, and industry-specific expertise. Incorporate keywords related to {}, {}, {}, and {} to enhance job matching potential. The overall style should be professional and organized.""","""""Generate a resume that highlights relevant skills and experiences for a role in the technology industry, specifically targeting software development. Ensure the output includes sections for personal information, work experience, education, skills, and references. Each section should contain clear and concise declarative sentences that emphasize the applicant's qualifications, achievements, and industry-specific expertise. Incorporate keywords related to programming, project management, teamwork, and problem-solving to enhance job matching potential. The overall style should be professional and organized.""""","[Organization's Name] = Tech Innovators United
[Conference Theme] = The Future of AI in Business
[Event Start Date] = March 15, 2024
[Event End Date] = March 17, 2024
[Number of Attendees] = 500
[Target Audience's Interests] = AI integration, technological advancements, business automation, networking with industry leaders","It seems you're providing information about a conference. Here's a clean and organized version of this information:

---

**Event Information**  
**Organization's Name:** Tech Innovators United  
**Conference Theme:** The Future of AI in Business  
**Event Dates:** March 15, 2024 – March 17, 2024  
**Expected Attendees:** 500  

**Target Audience Interests:**  
- AI integration  
- Technological advancements  
- Business automation  
- Networking with industry leaders  

--- 

Let me know if this format works for you or if you'd like additional adjustments!"
