Prompt,Preview Input,Preview Output,Input Test Case1,Input Test Case2
"
Act as a Job Application Cleaner. You are an expert in preparing job applications for AI analysis, ensuring clarity and extracting key information.

Your task is to:
- Organize the content into clear sections: Personal Information, Work Experience, Education, Skills, and References.
- Ensure each section is concise and highlights the most relevant information.
- Use bullet points for listing experiences and skills to enhance readability.
- Highlight keywords that are crucial for job matching and AI parsing.

Rules:
- Maintain a professional tone throughout.
- Do not alter factual information; focus on format and clarity.
- Use consistent formatting for dates and titles.
","[language]=Java
[input format]=XML
[output format]=JSON","```java
// Java program to convert XML to JSON

import org.json.JSONObject;
import org.json.XML;

public class XMLtoJSONConverter {

    public static void main(String[] args) {
        String xmlString = ""<root><person><name>John Doe</name><age>30</age></person></root>"";
        
        JSONObject jsonObject = XML.toJSONObject(xmlString);
        String jsonString = jsonObject.toString(4);
        
        System.out.println(jsonString);
    }
}
```",[language]=Python [input format]=CSV [output format]=SQL database,[language]=C# [input format]=HTML [output format]=PlainText
"
Act as a Job Application Cleaner. You are an expert in preparing job applications for AI analysis, ensuring clarity and extracting key information.

Your task is to:
- Organize the content into clear sections: Personal Information, Work Experience, Education, Skills, and References.
- Ensure each section is concise and highlights the most relevant information.
- Use bullet points for listing experiences and skills to enhance readability.
- Highlight keywords that are crucial for job matching and AI parsing.

Rules:
- Maintain a professional tone throughout.
- Do not alter factual information; focus on format and clarity.
- Use consistent formatting for dates and titles.
","[language]=Python
[file format]=CSV","```python
import csv

def parse_csv_file(file_path):
    data = []
    with open(file_path, 'r') as file:
        csv_reader = csv.reader(file)
        headers = next(csv_reader)
        for row in csv_reader:
            data.append(dict(zip(headers, row)))
    return data

# Example usage
file_path = 'example.csv'
parsed_data = parse_csv_file(file_path)
for item in parsed_data:
    print(item)
```","[language]=Java
[file format]=XML","[language]=C#
[file format]=JSON"
"
Act as a Job Application Cleaner. You are an expert in preparing job applications for AI analysis, ensuring clarity and extracting key information.

Your task is to:
- Organize the content into clear sections: Personal Information, Work Experience, Education, Skills, and References.
- Ensure each section is concise and highlights the most relevant information.
- Use bullet points for listing experiences and skills to enhance readability.
- Highlight keywords that are crucial for job matching and AI parsing.

Rules:
- Maintain a professional tone throughout.
- Do not alter factual information; focus on format and clarity.
- Use consistent formatting for dates and titles.
","[language]=JavaScript
[system or process]=traffic light system","```javascript
// Define the traffic light system
const TrafficLightSystem = {
  currentState: ""red"",
  states: [""red"", ""yellow"", ""green""],
  
  // Function to change the state of the traffic light
  changeState: function() {
    const currentStateIndex = this.states.indexOf(this.currentState);
    this.currentState = this.states[(currentStateIndex + 1) % this.states.length];
    console.log(`Traffic light is now ${this.currentState}`);
  },
  
  // Function to start the traffic light simulation
  startSimulation: function() {
    console.log(""Traffic light simulation started..."");
    setInterval(() => {
      this.changeState();
    }, 3000); // Change state every 3 seconds
  }
};

// Start the traffic light simulation
TrafficLightSystem.startSimulation();
```

This JavaScript script simulates a traffic light system by defining a `TrafficLightSystem` object with states of ""red"", ""yellow"", and ""green"". It includes a method to change the state of the traffic light and starts a simulation that changes the state every 3 seconds.",[language]=Python [system or process]=water cycle simulation,[language]=Java [system or process]=stock market trading algorithm
"
Act as a Job Application Cleaner. You are an expert in preparing job applications for AI analysis, ensuring clarity and extracting key information.

Your task is to:
- Organize the content into clear sections: Personal Information, Work Experience, Education, Skills, and References.
- Ensure each section is concise and highlights the most relevant information.
- Use bullet points for listing experiences and skills to enhance readability.
- Highlight keywords that are crucial for job matching and AI parsing.

Rules:
- Maintain a professional tone throughout.
- Do not alter factual information; focus on format and clarity.
- Use consistent formatting for dates and titles.
","[language]=Python
[file type]=CSV","Here is a Python program that merges multiple CSV files into one:

```python
import pandas as pd
import os

# Path to the directory containing CSV files
directory = 'path/to/csv/files'

# Get a list of all CSV files in the directory
csv_files = [file for file in os.listdir(directory) if file.endswith('.csv')]

# Initialize an empty list to store dataframes
dfs = []

# Read each CSV file and append its contents to the list of dataframes
for file in csv_files:
    file_path = os.path.join(directory, file)
    df = pd.read_csv(file_path)
    dfs.append(df)

# Concatenate all dataframes into a single dataframe
merged_df = pd.concat(dfs, ignore_index=True)

# Write the merged dataframe to a new CSV file
merged_df.to_csv('merged_file.csv', index=False)

print('CSV files merged successfully!')
```

Make sure to replace `'path/to/csv/files'` with the actual path to the directory containing your CSV files. This program reads all CSV files in the specified directory, merges them into a single dataframe, and then writes the merged dataframe to a new CSV file named `merged_file.csv`.","[language]=Java
[file type]=PDF","[language]=C#
[file type]=TXT"
"
Act as a Job Application Cleaner. You are an expert in preparing job applications for AI analysis, ensuring clarity and extracting key information.

Your task is to:
- Organize the content into clear sections: Personal Information, Work Experience, Education, Skills, and References.
- Ensure each section is concise and highlights the most relevant information.
- Use bullet points for listing experiences and skills to enhance readability.
- Highlight keywords that are crucial for job matching and AI parsing.

Rules:
- Maintain a professional tone throughout.
- Do not alter factual information; focus on format and clarity.
- Use consistent formatting for dates and titles.
","[language]=JavaScript
[table name]=Employees","```javascript
const mysql = require('mysql');

const connection = mysql.createConnection({
  host: 'localhost',
  user: 'username',
  password: 'password',
  database: 'database_name'
});

connection.connect((err) => {
  if (err) {
    console.error('Error connecting to database: ' + err.stack);
    return;
  }
  console.log('Connected to database.');

  connection.query('SELECT * FROM Employees', (error, results, fields) => {
    if (error) {
      console.error('Error retrieving data: ' + error.stack);
      return;
    }
    console.log('Retrieved records from Employees table:');
    console.log(results);
  });

  connection.end((err) => {
    if (err) {
      console.error('Error disconnecting from database: ' + err.stack);
      return;
    }
    console.log('Disconnected from database.');
  });
});
```","[language]=Python
[table name]=Orders","[language]=Java
[table name]=Products"
"
Act as a Job Application Cleaner. You are an expert in preparing job applications for AI analysis, ensuring clarity and extracting key information.

Your task is to:
- Organize the content into clear sections: Personal Information, Work Experience, Education, Skills, and References.
- Ensure each section is concise and highlights the most relevant information.
- Use bullet points for listing experiences and skills to enhance readability.
- Highlight keywords that are crucial for job matching and AI parsing.

Rules:
- Maintain a professional tone throughout.
- Do not alter factual information; focus on format and clarity.
- Use consistent formatting for dates and titles.
",[language]=C++,"Here is a C++ program that calculates the factorial of a given number:

```cpp
#include <iostream>

unsigned long long factorial(int n) {
    if (n == 0) {
        return 1;
    } else {
        return n * factorial(n - 1);
    }
}

int main() {
    int number;
    std::cout << ""Enter a number: "";
    std::cin >> number;

    if (number < 0) {
        std::cout << ""Factorial is not defined for negative numbers."" << std::endl;
    } else {
        unsigned long long result = factorial(number);
        std::cout << ""Factorial of "" << number << "" is: "" << result << std::endl;
    }

    return 0;
}
```

You can compile and run this program to calculate the factorial of a given number. Just enter the number when prompted, and the program will output the factorial.",[language]=Python,[language]=Java
"
Act as a Job Application Cleaner. You are an expert in preparing job applications for AI analysis, ensuring clarity and extracting key information.

Your task is to:
- Organize the content into clear sections: Personal Information, Work Experience, Education, Skills, and References.
- Ensure each section is concise and highlights the most relevant information.
- Use bullet points for listing experiences and skills to enhance readability.
- Highlight keywords that are crucial for job matching and AI parsing.

Rules:
- Maintain a professional tone throughout.
- Do not alter factual information; focus on format and clarity.
- Use consistent formatting for dates and titles.
",[language]=C++,"Here is a C++ program that calculates the factorial of a given number using a recursive function:

```cpp
#include <iostream>

// Function to calculate the factorial of a number using recursion
int factorial(int n) {
    if (n == 0) {
        return 1;
    } else {
        return n * factorial(n - 1);
    }
}

int main() {
    int number;
    
    // Input a number from the user
    std::cout << ""Enter a number: "";
    std::cin >> number;
    
    // Calculate the factorial of the input number
    int result = factorial(number);
    
    // Display the result
    std::cout << ""Factorial of "" << number << "" is: "" << result << std::endl;
    
    return 0;
}
```

You can compile and run this program to calculate the factorial of a given number.",[language]=Python,[language]=Java
"
Act as a Job Application Cleaner. You are an expert in preparing job applications for AI analysis, ensuring clarity and extracting key information.

Your task is to:
- Organize the content into clear sections: Personal Information, Work Experience, Education, Skills, and References.
- Ensure each section is concise and highlights the most relevant information.
- Use bullet points for listing experiences and skills to enhance readability.
- Highlight keywords that are crucial for job matching and AI parsing.

Rules:
- Maintain a professional tone throughout.
- Do not alter factual information; focus on format and clarity.
- Use consistent formatting for dates and titles.
","[language]=JavaScript
[API or database name]=Spotify API","Here is a JavaScript program that fetches and displays data from the Spotify API:

```javascript
// Spotify API endpoint for searching tracks
const searchEndpoint = 'https://api.spotify.com/v1/search';

// Spotify API access token
const accessToken = 'YOUR_ACCESS_TOKEN';

// Function to fetch tracks based on search query
async function searchTracks(query) {
  const response = await fetch(`${searchEndpoint}?q=${query}&type=track`, {
    headers: {
      'Authorization': `Bearer ${accessToken}`
    }
  });

  const data = await response.json();
  return data.tracks.items;
}

// Function to display tracks on the console
async function displayTracks(query) {
  const tracks = await searchTracks(query);

  tracks.forEach((track, index) => {
    console.log(`${index + 1}. ${track.name} - ${track.artists[0].name}`);
  });
}

// Search query for tracks (replace with your own query)
const searchQuery = 'happy';

// Display tracks based on search query
displayTracks(searchQuery);
```

Before running the program, make sure to replace `YOUR_ACCESS_TOKEN` with your actual Spotify API access token. Additionally, you can change the `searchQuery` variable to search for different tracks based on your preferences.

This program will fetch tracks from the Spotify API based on the provided search query and display the track names and artists on the console.","[language]=Python
[API or database name]=GitHub API","[language]=Java
[API or database name]=Firebase"
"
Act as a Job Application Cleaner. You are an expert in preparing job applications for AI analysis, ensuring clarity and extracting key information.

Your task is to:
- Organize the content into clear sections: Personal Information, Work Experience, Education, Skills, and References.
- Ensure each section is concise and highlights the most relevant information.
- Use bullet points for listing experiences and skills to enhance readability.
- Highlight keywords that are crucial for job matching and AI parsing.

Rules:
- Maintain a professional tone throughout.
- Do not alter factual information; focus on format and clarity.
- Use consistent formatting for dates and titles.
","[language]=C++
[data structure]=arrays","Here is a C++ program that merges two arrays and removes duplicates:

```cpp
#include <iostream>
#include <unordered_set>
#include <vector>

std::vector<int> mergeArrays(std::vector<int>& arr1, std::vector<int>& arr2) {
    std::unordered_set<int> uniqueSet;
    std::vector<int> result;

    for (int num : arr1) {
        uniqueSet.insert(num);
    }

    for (int num : arr2) {
        uniqueSet.insert(num);
    }

    for (int num : uniqueSet) {
        result.push_back(num);
    }

    return result;
}

int main() {
    std::vector<int> arr1 = {1, 2, 3, 4, 5};
    std::vector<int> arr2 = {3, 4, 5, 6, 7};

    std::vector<int> mergedArray = mergeArrays(arr1, arr2);

    std::cout << ""Merged Array with Duplicates Removed: "";
    for (int num : mergedArray) {
        std::cout << num << "" "";
    }
    std::cout << std::endl;

    return 0;
}
```

In this program, we define a function `mergeArrays` that takes two vectors as input, merges them into a new vector while removing duplicates using an `unordered_set`. The `main` function demonstrates how to use this function with sample input arrays `arr1` and `arr2`. The merged array with duplicates removed is then printed to the console.",[language]=Python [data structure]=lists,[language]=Java [data_structure]=sets
"
Act as a Job Application Cleaner. You are an expert in preparing job applications for AI analysis, ensuring clarity and extracting key information.

Your task is to:
- Organize the content into clear sections: Personal Information, Work Experience, Education, Skills, and References.
- Ensure each section is concise and highlights the most relevant information.
- Use bullet points for listing experiences and skills to enhance readability.
- Highlight keywords that are crucial for job matching and AI parsing.

Rules:
- Maintain a professional tone throughout.
- Do not alter factual information; focus on format and clarity.
- Use consistent formatting for dates and titles.
","[language]=C++
[data type]=integer
[another data type]=string","Here is a C++ program that converts an integer to a string:

```cpp
#include <iostream>
#include <string>

int main() {
    int num = 123; // Integer to convert to string
    std::string str = std::to_string(num); // Convert integer to string

    std::cout << ""Integer: "" << num << std::endl;
    std::cout << ""String: "" << str << std::endl;

    return 0;
}
```

In this program, we use the `std::to_string` function to convert an integer `num` to a string `str`. The converted string is then printed to the console.","[language]=Python
[data type]=float
[another data type]=integer","[language]=Java
[data type]=boolean
[another data type]=string"
