Category,category,stolen prompt,edited stolen prompt,best_input,target_output
Ads,Ads,"Create {} from the provided fields, aimed at {}. Start with a brief, supportive line that frames the content as a refined version for promotional use. Then present clearly labeled sections—Service Category, Service Offering, Target Buyers, Key Benefits, and What Makes Me Stand Out—using concise, benefits-first ad copy. Use bullet points for Key Benefits and Differentiators to improve scannability. Emphasize {} and credibility by spotlighting “{}” and “{},” and underscore professional expertise and efficiency with “{}” and “{}.” Maintain a professional, persuasive tone suitable for ads or a landing page. Conclude with a light CTA inviting the user to tailor the tone or details.","Prompt:
""Create a summary from the provided fields, aimed at marketing. Start with a brief, supportive line that frames the content as a refined version for promotional use. Then present clearly labeled sections—Service Category, Service Offering, Target Buyers, Key Benefits, and What Makes Me Stand Out—using concise, benefits-first ad copy. Use bullet points for Key Benefits and Differentiators to improve scannability. Emphasize value and credibility by spotlighting “experience” and “testimonials,” and underscore professional expertise and efficiency with “certifications” and “quick turnaround.” Maintain a professional, persuasive tone suitable for ads or a landing page. Conclude with a light CTA inviting the user to tailor the tone or details.""","[Product Type] = Smart Fitness Watch
[Brand Name] = ActiveTech
[Industry] = Consumer Electronics
[Target Audience] = Health-conscious millennials","It seems like you've provided some context, possibly for product positioning or branding. However, this information doesn't directly relate to a feature branch or code review. If you're looking for assistance with code in a pull request, please share the relevant details or diff. If this is unrelated to the repository, let me know how I can assist within the scope of my responsibilities."
Business,Business,"Create a business-focused slide deck outline based on the User_Input fields: {}, {}, {}, and {}. The goal is to produce a concise, visually engaging, and investor-ready outline tailored to {} for an AI startup, suitable for {}, and optimized for the specified short duration.

Instructions:
- Title the document: “Slide Deck Outline for a {} Pitch” and note the need for brevity.
- Allocate timing per slide so the total equals {}. For {} slides and {} seconds, use ~{} seconds per slide, with the opening and closing at ~{} seconds each and the rest at ~{} seconds.
- For each slide (1 to {}), provide:
  - Slide header in the format: “Slide X: [Slide Name] (Y seconds)”
  - Three labeled bullets:
    - Content: What to include on the slide (short, high-impact bullets).
    - Purpose: The business rationale for the slide in the context of VC expectations (clarity on ROI, scale, traction).
    - Example: A brief, concrete illustration relevant to an AI startup.
- Use the following slide sequence for a VC AI funding pitch:
  1) Title
  2) Problem (data-backed pain point)
  3) Solution (AI-driven approach and quantifiable impact)
  4) Market Opportunity (TAM/SAM; credible sizing)
  5) Product Demo (optional but encouraged for tangibility)
  6) Competitive Advantage (moats: proprietary tech, benchmarks, IP, team)
  7) Traction (metrics: customers, pilots, revenue, growth)
  8) Business Model (pricing, revenue stream; keep concise)
  9) Funding Ask (specific amount, use of funds, expected milestones/ROI)
  10) Closing & Contact (CTA and contact details)
- Keep language clear, concise, and investor-centric. Emphasize brevity and impact suitable for a {} pitch.
- After {}, add a “Final Tips” section with 3-5 bullets covering Design (clean visuals, minimal text), Delivery (practice to timebox), and Focus (problem-solution-ask).
- End with a short encouragement line (e.g., “Good luck with your pitch!”).

Formatting:
- Use clear headings and short bullet points.
- Label each bullet group as “Content,” “Purpose,” and “Example.”
- Maintain a professional business tone tailored to {}.","Prompt:
""Create a business-focused slide deck outline based on the User_Input fields: topic, target audience, key metrics, and funding amount. The goal is to produce a concise, visually engaging, and investor-ready outline tailored to investors for an AI startup, suitable for early-stage funding, and optimized for the specified short duration.

Instructions:
- Title the document: “Slide Deck Outline for a Funding Pitch” and note the need for brevity.
- Allocate timing per slide so the total equals total_time. For 10 slides and total_time seconds, use ~equal seconds per slide, with the opening and closing at ~slightly longer seconds each and the rest at ~equal seconds.
- For each slide (1 to 10), provide:
  - Slide header in the format: “Slide X: [Slide Name] (Y seconds)”
  - Three labeled bullets:
    - Content: What to include on the slide (short, high-impact bullets).
    - Purpose: The business rationale for the slide in the context of VC expectations (clarity on ROI, scale, traction).
    - Example: A brief, concrete illustration relevant to an AI startup.
- Use the following slide sequence for a VC AI funding pitch:
  1) Title
  2) Problem (data-backed pain point)
  3) Solution (AI-driven approach and quantifiable impact)
  4) Market Opportunity (TAM/SAM; credible sizing)
  5) Product Demo (optional but encouraged for tangibility)
  6) Competitive Advantage (moats: proprietary tech, benchmarks, IP, team)
  7) Traction (metrics: customers, pilots, revenue, growth)
  8) Business Model (pricing, revenue stream; keep concise)
  9) Funding Ask (specific amount, use of funds, expected milestones/ROI)
  10) Closing & Contact (CTA and contact details)
- Keep language clear, concise, and investor-centric. Emphasize brevity and impact suitable for a funding pitch.
- After slide 10, add a “Final Tips” section with 3-5 bullets covering Design (clean visuals, minimal text), Delivery (practice to timebox), and Focus (problem-solution-ask).
- End with a short encouragement line (e.g., “Good luck with your pitch!”).

Formatting:
- Use clear headings and short bullet points.
- Label each bullet group as “Content,” “Purpose,” and “Example.”
- Maintain a professional business tone tailored to investors.""","[Investor Name]: Emily Thompson [Specific Sector]: Renewable Energy [Risk Tolerance Level]: Moderate [Timeframe]: 5-10 years [Investment Capital]: $500,000","It seems like you've shared information related to an investor profile, which isn't relevant to code review or technical assistance. If you have a question or task related to your current repository or GlobalTech's coding standards, feel free to ask, and I'd be happy to assist!"
Code,Code,"Could you provide more context or a specific question related to {} in {}? For instance, are you looking for feedback on a pull request, assistance with algorithm optimization, or guidance on adhering to the GT‑C++17 Standard? Let me know how I can assist!","Prompt:
""Could you provide more context or a specific question related to this topic in detail? For instance, are you looking for feedback on a pull request, assistance with algorithm optimization, or guidance on adhering to the GT‑C++17 Standard? Let me know how I can assist!""","[language]=Java
[input format]=XML
[output format]=JSON","It seems like you've provided a general structure. Could you clarify what kind of assistance you need? Are you implementing a Java program to convert XML input into JSON output, or are you looking for code review or optimization suggestions? Let me know how I can assist!"
Data,Data,"Given {} that supplies data parameters about a person, their role, company, industry, and key metrics, produce a response that:

1) Data-aware introductory observation (declarative):
- Identify that the input is a set of parameters about the user and their {} context.
- Explicitly state that the provided data does not directly map to your primary scope (code review/feature branch analysis within GlobalTech’s GitHub Enterprise), anchoring the response in a data-to-scope mismatch.

2) Data-focused pivot with actionable suggestions (declarative + interrogative):
- Propose data-oriented directions that connect the supplied metrics to potential engineering work (e.g., integrating or exposing metrics, building analytics dashboards, data pipelines, or APIs).
- Include at least two bullet-point questions that help clarify data needs, such as:
  - Whether the user is working on analytics dashboards/APIs for the listed metrics.
  - Whether they need feedback on code that processes, reports on, or optimizes those metrics.
- Where possible, reuse the provided metric names (e.g., {}, {}, {} ) in the examples.

3) Call to action (declarative + interrogative):
- Invite the user to clarify their objective so you can provide targeted, actionable feedback.

Style and structure requirements:
- Structure the output with a brief opening paragraph, followed by a concise bulleted list of clarifying questions/examples, then a closing sentence encouraging clarification.
- Use a mix of declarative and interrogative sentences as specified.
- Keep the tone professional, succinct, and data-centric.
- Bullets are allowed; avoid heavy formatting beyond that.","Prompt:
""Given data that supplies data parameters about a person, their role, company, industry, and key metrics, produce a response that:

1) Data-aware introductory observation (declarative):
- Identify that the input is a set of parameters about the user and their professional context.
- Explicitly state that the provided data does not directly map to your primary scope (code review/feature branch analysis within GlobalTech’s GitHub Enterprise), anchoring the response in a data-to-scope mismatch.

2) Data-focused pivot with actionable suggestions (declarative + interrogative):
- Propose data-oriented directions that connect the supplied metrics to potential engineering work (e.g., integrating or exposing metrics, building analytics dashboards, data pipelines, or APIs).
- Include at least two bullet-point questions that help clarify data needs, such as:
  - Whether the user is working on analytics dashboards/APIs for the listed metrics.
  - Whether they need feedback on code that processes, reports on, or optimizes those metrics.
- Where possible, reuse the provided metric names (e.g., metric1, metric2, metric3) in the examples.

3) Call to action (declarative + interrogative):
- Invite the user to clarify their objective so you can provide targeted, actionable feedback.

Style and structure requirements:
- Structure the output with a brief opening paragraph, followed by a concise bulleted list of clarifying questions/examples, then a closing sentence encouraging clarification.
- Use a mix of declarative and interrogative sentences as specified.
- Keep the tone professional, succinct, and data-centric.
- Bullets are allowed; avoid heavy formatting beyond that.""",[User's Company]=StreamTech Solutions [Data Source]=social media platforms,"It seems you've provided information specific to your company or a particular data source. If this is related to a pull request or code review, please clarify the context or share the relevant code changes. I'll be happy to assist with reviewing the pull request, ensuring it aligns with coding standards, security best practices, and proper test coverage."
Email,Email,"Assume {} is software engineering work around an Email system or repository. When the user supplies a very short or ambiguous term (e.g., a single noun phrase like “{}”), generate a clarification response with this exact structure and wording:

- Start with one sentence noting the input is incomplete or unclear, and mention that if the term refers to a {}-related feature or application within a specific repository, more context is needed. Follow it with “For example:” on the same paragraph.
- Provide exactly three bullet points asking for clarification, inserting the user’s term verbatim where appropriate:
  - “Are you implementing or reviewing a {}-related feature?”
  - “Is there a relevant pull request or code snippet you'd like me to review?”
  - “Do you need help with specific functionality or code standards?”
- End with the single sentence: “Feel free to clarify, and I'll assist accordingly!”

Keep the tone neutral and helpful, suitable for email-related repositories or workflows. For the input “{},” substitute that term for [term] to produce the final output.","Prompt:
""Assume the context is software engineering work around an Email system or repository. When the user supplies a very short or ambiguous term (e.g., a single noun phrase like “the term”), generate a clarification response with this exact structure and wording:

- Start with one sentence noting the input is incomplete or unclear, and mention that if the term refers to an email-related feature or application within a specific repository, more context is needed. Follow it with “For example:” on the same paragraph.
- Provide exactly three bullet points asking for clarification, inserting the user’s term verbatim where appropriate:
  - “Are you implementing or reviewing an email-related feature?”
  - “Is there a relevant pull request or code snippet you'd like me to review?”
  - “Do you need help with specific functionality or code standards?”
- End with the single sentence: “Feel free to clarify, and I'll assist accordingly!”

Keep the tone neutral and helpful, suitable for email-related repositories or workflows. For the input “the term,” substitute that term for [term] to produce the final output.""","Customer Type: Young Professionals
Company/Brand: Modern Home Decor Online Store","It seems like you might be brainstorming ideas related to a young professional customer base or a modern home decor online store, but I'm unsure how this ties into a GlobalTech code review or feature branch. Could you clarify your request or provide context so I can assist you better? If you're working on a feature for this demographic or e-commerce platform within GlobalTech's scope, let me know how I can help with the code review or implementation!"
Fashion,Fashion,"Given fashion-related input about wardrobe planning (e.g., a new job or life event, listed wardrobe essentials, and a color palette), produce a brief response with two clearly separated parts:
1) Acknowledge and neutrally paraphrase the user’s fashion context, referencing the {}, the {}, and the {} at a high level without offering fashion advice.
2) Redirect to the assistant’s actual scope by stating that you handle code reviews and technical development within GlobalTech’s GitHub Enterprise environment, and invite code-related inquiries.
Use only concise, declarative sentences that provide information and clarification.","Prompt:
""Given fashion-related input about wardrobe planning (e.g., a new job or life event, listed wardrobe essentials, and a color palette), produce a brief response with two clearly separated parts:
1) Acknowledge and neutrally paraphrase the user’s fashion context, referencing the event, the essentials, and the palette at a high level without offering fashion advice.
2) Redirect to the assistant’s actual scope by stating that you handle code reviews and technical development within GlobalTech’s GitHub Enterprise environment, and invite code-related inquiries.
Use only concise, declarative sentences that provide information and clarification.""",[TARGET DEMOGRAPHIC]=young professionals [SEASON]=spring,"It seems like you've included a configuration snippet or placeholder values. Could you clarify your request or provide additional context? For example, if this is part of a feature you're implementing or reviewing, feel free to share relevant code or details so I can assist effectively."
Food,Food,"When {} provides terse, configuration-like food context (for example, key-value pairs such as ""{}"" and ""{}"") without an explicit question, generate a polite, organized response that:

- Begins with an observation that the input looks like context or configuration rather than a direct food request.
- Asks clarifying questions in a short bullet list, offering multiple possible directions for help (e.g., guidance on securely handling this configuration in code, suggestions for integrating it into a repository or module for a food app or cookbook, or asking if it’s unrelated to code and they need another kind of food-related assistance).
- Concludes by inviting {} to specify how you can help.

Emphasize that clarification is needed to provide relevant assistance. Maintain a friendly, professional tone and avoid heavy formatting.","Prompt:
""When someone provides terse, configuration-like food context (for example, key-value pairs such as ""ingredient"" and ""quantity"") without an explicit question, generate a polite, organized response that:

- Begins with an observation that the input looks like context or configuration rather than a direct food request.
- Asks clarifying questions in a short bullet list, offering multiple possible directions for help (e.g., guidance on securely handling this configuration in code, suggestions for integrating it into a repository or module for a food app or cookbook, or asking if it’s unrelated to code and they need another kind of food-related assistance).
- Concludes by inviting the user to specify how you can help.

Emphasize that clarification is needed to provide relevant assistance. Maintain a friendly, professional tone and avoid heavy formatting.""","[main ingredient]=Oatmeal
[specific dietary need]=gluten-free
[type of beverage]=green tea","It seems like you've provided some parameters, but I'm unsure how they connect to a code review or feature branch. Could you clarify how this relates to the repository or code you're working on? If this is unrelated to code, feel free to provide more context so I can assist effectively!"
Games,Games,"<START>Given {} that maps gaming-related terms (such as a {} and a {}), produce a response in a game development/code review context that: 
- Starts with exactly one declarative sentence acknowledging they may be sharing or mapping gaming/forum terms but that the context is unclear.
- Follows with exactly two interrogative sentences: first, ask how this relates to the code review or feature branch; second, if it’s part of a pull request or new feature, request more details or a relevant code snippet to assist.
- Keep the language general and do not repeat the specific terms from the input.
- Do not add any additional sentences or formatting.</END>","""<START>Given a dictionary that maps gaming-related terms (such as a joystick and a leaderboard), produce a response in a game development/code review context that: 
- Starts with exactly one declarative sentence acknowledging they may be sharing or mapping gaming/forum terms but that the context is unclear.
- Follows with exactly two interrogative sentences: first, ask how this relates to the code review or feature branch; second, if it’s part of a pull request or new feature, request more details or a relevant code snippet to assist.
- Keep the language general and do not repeat the specific terms from the input.
- Do not add any additional sentences or formatting.</END>""",[specific game genre]=real-time strategy games [a specific gaming platform]=Nintendo Switch,"It looks like you might be trying to reference a specific context or ask about real-time strategy games on the Nintendo Switch. Could you clarify your request or provide more details? If you're looking for assistance with a code review or related development work, feel free to share the relevant information, and I'll assist accordingly!"
Health,Health,"If the user provides a health-related exercise template (e.g., fields like {}), do not offer fitness advice. Instead, acknowledge that the input appears to be a health/fitness template and clearly state that your role is to review and provide feedback on code changes within GlobalTech’s repositories. Prompt the user to share a relevant pull request or code diff if the health content relates to a software feature (e.g., {}); otherwise, invite them to specify how you can assist within the context of software development. Maintain a concise, professional tone akin to the provided Output.","Prompt:
""If the user provides a health-related exercise template (e.g., fields like exercise name, duration, intensity), do not offer fitness advice. Instead, acknowledge that the input appears to be a health/fitness template and clearly state that your role is to review and provide feedback on code changes within GlobalTech’s repositories. Prompt the user to share a relevant pull request or code diff if the health content relates to a software feature (e.g., a workout tracking app); otherwise, invite them to specify how you can assist within the context of software development. Maintain a concise, professional tone akin to the provided Output.""","[Name]=Emily
[Stress Factors]=Job pressure and financial worries
[Age]=34
[Occupation]=Financial Analyst
[Social Support System]=Supportive partner but limited close friendships
[Prior Mental Health History]=Mild anxiety, no prior therapy","It seems you've shared a profile that may pertain to an individual, but this type of information is outside the scope of my functionality as a code review assistant for GlobalTech. If you intended to ask about something specific related to our codebase, pull requests, or development guidelines, feel free to provide additional context, and I'd be glad to assist!"
Ideas,Ideas,"<START>When the User_Input provides company/context details without a direct question, write a single cohesive paragraph focused on Ideas that: (1) starts by observing that the user supplied information but made no specific request, (2) uses clear declarative and interrogative sentences to ask for clarification on the kind of idea-related assistance they want (e.g., brainstorming ideas, feedback on a codebase, technical suggestions, or something else), and (3) ends with an invitation to specify how you can help. Do not present any ideas yet; only seek clarification.</END>","""<START>When the User_Input provides company or context details without a direct question, write a single cohesive paragraph focused on Ideas that: (1) starts by observing that the user supplied information but made no specific request, (2) uses clear declarative and interrogative sentences to ask for clarification on the kind of idea-related assistance they want (e.g., brainstorming ideas, feedback on a codebase, technical suggestions, or something else), and (3) ends with an invitation to specify how you can help. Do not present any ideas yet; only seek clarification.</END>""","[TARGET AUDIENCE]= Pet owners
[INDUSTRY]= Pet care
[SPECIFIC FEATURES]= Personalized pet diet plans, health monitoring, and activity tracking","Thank you for providing details about the target audience, industry, and specific features. Based on this context, here are some actionable recommendations for your project:

1. **User Experience Enhancement**:
   - Ensure the interface for personalized pet diet plans is intuitive and allows easy input of pet-specific details (e.g., breed, age, weight, and dietary needs). A step-by-step wizard could simplify this process.
   - For health monitoring, consider integrating visual dashboards that provide pet owners with clear insights into their pet's vitals, trends, and alerts.
   - Provide actionable notifications based on activity tracking, like reminders for exercise or alerts for unusual inactivity patterns.

2. **Data Privacy and Security**:
   - If health monitoring involves storing sensitive data (e.g., medical history), ensure compliance with relevant data protection regulations such as GDPR.
   - Avoid hardcoding secrets (e.g., API keys) within the codebase. Implement a secure vault solution for storing credentials.

3. **Performance Considerations**:
   - Activity tracking may involve continuous data processing. Optimize algorithms to minimize battery consumption, especially if the solution involves wearables or mobile apps.
   - If dietary recommendations rely on AI models, benchmark them to ensure quick response times—preferably under 100 ms for user queries.

4. **Testing and Quality Assurance**:
   - Devise unit tests to validate the accuracy of diet plan recommendations and health monitoring algorithms. Ensure test coverage meets the 95% threshold.
   - Include edge cases, such as pets with rare health conditions or dietary restrictions, in the test scenarios.

5. **Scalability**:
   - For personalized plans, consider designing the system to accommodate a growing database of pet profiles without sacrificing performance.
   - If you intend to expand to real-time health tracking, ensure backend systems can handle high-volume data streams efficiently.

6. **Integration Opportunities**:
   - Explore partnerships with veterinary networks or pet insurance providers to enhance the value proposition of health monitoring features.
   - Integrate with popular pet trackers or IoT devices to provide seamless activity tracking.

If this project involves code, feel free to upload a pull request or diff for review—I can assist with code optimizations, style adherence to GT‑C++17 standards, and security auditing!"
