Category,category,stolen prompt,edited stolen prompt,best_input,target_output
Ads,Ads,"Create a polished and professional service description for a {} offering targeted at {}. Structure the description into clear sections: {}, {}, {}, {}, and {}. Emphasize the value of the service by highlighting key features such as {}, {}, and {}. Ensure the tone is formal and promotional, showcasing {} in the industry. Aim to make the service appealing and compelling to potential clients.","""Create a polished and professional service description for a service offering targeted at businesses. Structure the description into clear sections: Introduction, Features, Benefits, Pricing, and Conclusion. Emphasize the value of the service by highlighting key features such as quality, reliability, and customer support. Ensure the tone is formal and promotional, showcasing expertise in the industry. Aim to make the service appealing and compelling to potential clients.""","[Brand Name] = Glamour Naturals
[Product Type] = Organic Skincare Products
[Target Audience] = Women aged 25-40 who are interested in eco-friendly and sustainable beauty solutions","It appears you're looking to create messaging or content tailored to your brand, Glamour Naturals, and its target audience. Here’s a concise and cohesive start to aligning your brand voice with your target audience:

---

**Messaging Framework for Glamour Naturals**

**Brand Essence**:  
Empowering women to embrace their natural beauty with eco-friendly, organic skincare solutions, while promoting sustainability and conscious living.

**Key Messaging Pillars**:  
1. **Pure & Natural**  
   - Highlight the organic, toxin-free ingredients that nourish and protect the skin.  
   - E.g., ""Crafted with nature’s purest ingredients for a glow as natural as you.""

2. **Sustainability & Responsibility**  
   - Emphasize eco-friendly packaging, cruelty-free testing, and a commitment to reducing environmental impact.  
   - E.g., ""Beauty that doesn’t cost the earth—because sustainability is always in style.""

3. **Empowerment Through Self-Care**  
   - Appeal to the audience’s desire for holistic wellness and self-care routines.  
   - E.g., ""Feel good. Look radiant. Love yourself naturally.""

**Tone of Voice**:  
- Warm, approachable, and inspiring  
- Reflect confidence and authenticity, with a touch of sophistication  

**Tagline Suggestions**:  
1. ""Glow Naturally, Sustainably.""  
2. ""Eco-Luxury for Your Skin.""  
3. ""Radiance Rooted in Nature.""  

**Content Ideas**:  
1. **Educational Blogs/Posts**: Explain the benefits of key organic ingredients and sustainable practices.  
   - E.g., ""5 Reasons Why Organic Skincare is the Best Gift for Your Skin (and the Planet).""  

2. **Social Media Campaigns**:  
   - Showcase before-and-after transformations using Glamour Naturals.  
   - Encourage user-generated content with hashtags like #GlowWithGlamour or #EcoChicBeauty.  

3. **Packaging Story**:  
   - Create visuals or videos showcasing the sustainable journey of your products, from sourcing to shipping.

**Call to Action**:  
- ""Discover the beauty of going natural—shop Glamour Naturals today.""  

Let me know if you’d like to refine this further or focus on a specific channel like social media, email, or product packaging!"
Business,Business,"Generate {} for {} aimed at {}. Ensure that each {} has a clear purpose and time allocation, emphasizing the importance of {}, {}, {}, {}, {}, {}, {}, {}, and a memorable closing. The style should be clear, organized, and instructional, with a focus on brevity and actionable steps. Assume the audience is familiar with {} and {} processes, and ensure the output is practical, goal-oriented, and emphasizes efficiency in both content and delivery.","""Generate a plan for a presentation aimed at an audience of professionals. Ensure that each section has a clear purpose and time allocation, emphasizing the importance of clarity, engagement, structure, timing, visuals, interaction, feedback, and a memorable closing. The style should be clear, organized, and instructional, with a focus on brevity and actionable steps. Assume the audience is familiar with presentation and communication processes, and ensure the output is practical, goal-oriented, and emphasizes efficiency in both content and delivery.""","[Company Name] = AutoTech Innovations
[Industry] = Automotive Manufacturing
[specific business process] = supply chain management","It appears you've provided details about a company, AutoTech Innovations, and its industry and business process focus, which is automotive manufacturing and supply chain management. However, without additional context or a specific request, I'm unsure how you'd like me to assist. 

If your inquiry relates to code review, feature development, or improving supply chain management systems, please provide additional details or clarify your request, and I'll be happy to help!"
Code,Code,"""Generate {} that provides practical coding tips and best practices for working with {} in {}. The output should be based on a fictional coding standard (e.g., GlobalTech's GT-C++17 Standard) and include the following elements:

1. **Code Style Guidelines**: Offer at least three guidelines related to code style, emphasizing the use of modern C++ features, const-correctness, and avoiding manual sorting.

2. **Performance Considerations**: Include at least two performance tips that highlight efficient searching techniques and memory management practices.

3. **Security and Robustness**: Provide at least two recommendations focused on ensuring code security and robustness, such as boundary checks and handling sensitive data.

4. **Example Code**: Present a simple, clear example demonstrating the best practices discussed, including error handling and the use of standard library functions.

5. **Testing Recommendations**: Suggest testing strategies, including edge cases and coverage requirements, to ensure the code's reliability.

The output should be well-organized with headings, bullet points, and code snippets to enhance clarity and readability. Emphasize adherence to coding standards and best practices to promote efficient, secure, and maintainable code when handling {} in {}.""","Prompt:
""""Generate content that provides practical coding tips and best practices for working with C++ in software development. The output should be based on a fictional coding standard (e.g., GlobalTech's GT-C++17 Standard) and include the following elements:

1. **Code Style Guidelines**: Offer at least three guidelines related to code style, emphasizing the use of modern C++ features, const-correctness, and avoiding manual sorting.

2. **Performance Considerations**: Include at least two performance tips that highlight efficient searching techniques and memory management practices.

3. **Security and Robustness**: Provide at least two recommendations focused on ensuring code security and robustness, such as boundary checks and handling sensitive data.

4. **Example Code**: Present a simple, clear example demonstrating the best practices discussed, including error handling and the use of standard library functions.

5. **Testing Recommendations**: Suggest testing strategies, including edge cases and coverage requirements, to ensure the code's reliability.

The output should be well-organized with headings, bullet points, and code snippets to enhance clarity and readability. Emphasize adherence to coding standards and best practices to promote efficient, secure, and maintainable code when handling data in applications.""""","[language]=Java
[input format]=XML
[output format]=JSON","It seems you've provided some context for processing a task involving XML input and JSON output, but I need more details to assist you effectively. Are you asking for help with:

1. Writing Java code to convert XML to JSON?
2. Reviewing a pull request involving this functionality?
3. Debugging an issue or improving performance for such a process?

Please clarify or share the specific code, PR diff, or problem statement so I can provide actionable feedback."
Data,Data,"""Generate {} that acknowledges {} related to {} and {}. Clearly state that the assistant specializes in code reviews and development tasks within {}'s GitHub Enterprise environment. Emphasize the focus on code-related issues, pull request analysis, and development within {} projects. If the user's query falls outside this domain, recommend consulting the appropriate expertise or resource. Ensure the response is declarative, focused, and domain-specific, clearly defining the scope of assistance.""","""""Generate a response that acknowledges the user's needs related to code reviews and development tasks. Clearly state that the assistant specializes in code reviews and development tasks within the user's GitHub Enterprise environment. Emphasize the focus on code-related issues, pull request analysis, and development within user projects. If the user's query falls outside this domain, recommend consulting the appropriate expertise or resource. Ensure the response is declarative, focused, and domain-specific, clearly defining the scope of assistance.""""","[User's Name]=Jordan
[User's Field]=financial analytics
[Specific Issue]=missing data","Hi Jordan,

It seems like you're encountering an issue related to missing data within the context of financial analytics. While I specialize in code review and related tasks, here are a few general approaches you could consider to address missing data issues:

### 1. **Data Imputation**
   - **Mean/Median/Mode Imputation**: Replace missing values with the mean, median, or mode of the column.
   - **Forward/Backward Filling**: Use values from adjacent time periods to fill the gaps, especially useful for time-series data.
   - **Predictive Models**: Use regression or machine learning models to predict and fill missing values, leveraging other features.

### 2. **Data Cleansing**
   - **Remove Rows/Columns**: If the proportion of missing data is small, dropping rows or columns may be a reasonable option.
   - **Flag Missing Values**: Create an additional feature indicating where data is missing, which can sometimes hold predictive value.

### 3. **Domain-Specific Methods**
   - In financial analytics, missing data could stem from market holidays, trading suspensions, or delayed reporting. Consider incorporating domain knowledge to determine whether the missing data can be reconstructed or if it should be treated as a null value.

### 4. **Audit Input Pipelines**
   - If you're working with code, check your data ingestion and preprocessing pipelines for potential issues (e.g., file I/O errors, incorrect schema, truncation).

If this missing data issue stems from a code implementation and you can share a relevant portion of the code (within the scope of your repo), I'd be happy to review it for potential bugs or optimization opportunities.

Let me know how you'd like to proceed!"
Email,Email,"""Generate {} to a user query that is unrelated to {} topics, maintaining a polite and professional tone. The style should be formal and conversational, engaging the user while clearly stating that their query does not align with the assistant's designated function of handling {}-related tasks. Request clarification or additional context from the user, emphasizing a willingness to assist with any {}-related issues or inquiries. Use a mix of declarative and interrogative sentences to create a balanced response.""","""""Generate a response to a user query that is unrelated to specific topics, maintaining a polite and professional tone. The style should be formal and conversational, engaging the user while clearly stating that their query does not align with the assistant's designated function of handling related tasks. Request clarification or additional context from the user, emphasizing a willingness to assist with any related issues or inquiries. Use a mix of declarative and interrogative sentences to create a balanced response.""""","Type of Inquiry: Delayed Order Inquiries
Company's Product/Service: Premium Coffee Subscription Service","It seems like your inquiry is related to delayed orders for a premium coffee subscription service, which falls outside the scope of my responsibilities as a code review assistant for GlobalTech's GitHub Enterprise instance. I recommend reaching out to the customer support team for that service directly or checking their policies for delayed orders.

If you have any questions about code reviews, feature development, or repository suggestions, feel free to provide details, and I’ll assist you accordingly!"
Fashion,Fashion,"""Generate a response that acknowledges the user's input related to wardrobe planning for a {}. The response should highlight the wardrobe essentials and color coordination mentioned by the user. Additionally, offer assistance with technical queries or code review, maintaining a conversational and polite tone. Ensure the response consists of two declarative sentences: the first addressing the context of the user's input, and the second extending an offer of help.""","""""Generate a response that acknowledges the user's input related to wardrobe planning for a specific event. The response should highlight the wardrobe essentials and color coordination mentioned by the user. Additionally, offer assistance with technical queries or code review, maintaining a conversational and polite tone. Ensure the response consists of two declarative sentences: the first addressing the context of the user's input, and the second extending an offer of help.""""","[Target Age Group]=young adults aged 18-30
[List of Eco-Friendly Materials]=organic cotton, recycled polyester, and bamboo fabric
[Eco-Friendly Brands or Influencers]=Patagonia, Stella McCartney, and influencer Rob Greenfield
[Digital Marketing Channels]=Instagram, TikTok, and sustainable lifestyle blogs
[Eco-Centric Promotional Events]=pop-up shops in urban areas, interactive online webinars on sustainability, and collaborations with eco-conscious music festivals","It seems you've presented a marketing or promotional plan for an eco-friendly initiative targeting young adults aged 18-30. However, this content appears unrelated to a GitHub pull request or technical code review. If you're looking for assistance with code or technical documentation, please share the relevant details for me to review. Let me know how I can assist!"
Food,Food,"""Generate {} that addresses a user input related to food, specifically focusing on sustainable ingredients and meal types. The response should clarify that the input does not align with the primary functions of providing technical assistance related to {} or {} tasks. Maintain a professional, polite, and direct tone, emphasizing the need for relevant context or code snippets for effective assistance. Structure the response clearly, starting with an observation about the input, followed by a suggestion for more relevant input, and an offer for further assistance. Ensure the output reflects a focus on technical support, adaptability to user needs, and clarity in communication.""","""""Generate a response that addresses a user input related to food, specifically focusing on sustainable ingredients and meal types. The response should clarify that the input does not align with the primary functions of providing technical assistance related to programming or coding tasks. Maintain a professional, polite, and direct tone, emphasizing the need for relevant context or code snippets for effective assistance. Structure the response clearly, starting with an observation about the input, followed by a suggestion for more relevant input, and an offer for further assistance. Ensure the output reflects a focus on technical support, adaptability to user needs, and clarity in communication.""""","[ingredient]=Quinoa
[cooking appliance]=Pressure cooker","It seems like you might be looking for information or tips on cooking quinoa in a pressure cooker. Here's a quick guide:

1. **Rinse the Quinoa**: Always rinse quinoa under cold water to remove the natural coating (saponin), which can cause a bitter taste.

2. **Water-to-Quinoa Ratio**: Use a 1:1.25 ratio. For example, for 1 cup of quinoa, you'll need 1¼ cups of water or broth for added flavor.

3. **Pressure Cooker Settings**:
   - Set your pressure cooker to **High Pressure**.
   - Cook for **1 minute** under pressure. Yes, just 1 minute! The pressure cooker will take some time to come up to pressure and then release, which is sufficient for cooking quinoa.

4. **Natural Pressure Release**: After the cooking cycle, let the pressure release naturally for about 10 minutes. Then, manually release any remaining pressure.

5. **Fluff and Serve**: Open the lid, fluff the quinoa with a fork, and serve. It should be light, fluffy, and perfectly cooked.

Let me know if you were asking for something else!"
Games,Games,"When generating {} based on user input related to {} or {}, identify if the input resembles placeholders or template variables. If it does, respond in a conversational and polite manner, encouraging the user to clarify their input. Suggest potential contexts such as coding, repository work, or gaming integration where they might need assistance. Ensure the response is adaptive and open-ended, offering help based on the user's needs. Structure the output in clear sentences that address the issue, propose clarification, and extend an offer of assistance.","""When generating responses based on user input related to coding or gaming, identify if the input resembles placeholders or template variables. If it does, respond in a conversational and polite manner, encouraging the user to clarify their input. Suggest potential contexts such as coding, repository work, or gaming integration where they might need assistance. Ensure the response is adaptive and open-ended, offering help based on the user's needs. Structure the output in clear sentences that address the issue, propose clarification, and extend an offer of assistance.""","[specific gaming technology or innovation, e.g., VR, AR, AI]=augmented reality (AR)","It seems like your input might be incomplete or unclear. Could you clarify what you're asking for or what you would like assistance with regarding augmented reality (AR)? For example, are you looking for guidance on implementing AR features, reviewing code related to AR, or integrating it into a specific project? Let me know how I can assist!"
Health,Health,"""Generate a formal and professional response that clarifies the scope of assistance provided, indicating that the input is related to {} rather than a technical issue. The response should inform the user that the primary function is to assist with {} tasks within GlobalTech's GitHub Enterprise instance. Additionally, invite the user to provide relevant technical details or queries related to {} or {}. Ensure the output is informative and uses declarative sentences to convey clear statements and explanations.""","""""Generate a formal and professional response that clarifies the scope of assistance provided, indicating that the input is related to a general inquiry rather than a technical issue. The response should inform the user that the primary function is to assist with support tasks within GlobalTech's GitHub Enterprise instance. Additionally, invite the user to provide relevant technical details or queries related to their project or account. Ensure the output is informative and uses declarative sentences to convey clear statements and explanations.""""","[Infant's Age]=6 months old
[Vaccination Schedule]=Received first round of vaccinations (DTaP, Hib, Polio, Rotavirus) at 2 months and 4 months, next round due at 6 months
[Typical Sleep Schedule]=Wakes up at 6:00 AM, morning nap from 9:00 AM to 10:30 AM, afternoon nap from 2:00 PM to 3:30 PM, bedtime at 7:30 PM
[Current Feeding Regimen]=Breastfeeding on demand approximately every 3 hours, recently started on solid foods like pureed fruits and vegetables once a day","It seems like you've provided information regarding an infant's age, health, and schedule. However, this content isn't directly related to code or software development. If you need assistance with something related to your GlobalTech repositories, like a pull request review or code analysis, please provide the relevant context or files, and I'll be happy to assist!"
Ideas,Ideas,"Generate {} that addresses the user's input about a company and its offerings, while clarifying that the information is not relevant to your role. Maintain a formal tone suitable for workplace communication, and encourage the user to provide context related to {} or inquiries for meaningful assistance. Ensure the response is declarative, providing clear information and an offer of help.","""Generate a response that addresses the user's input about a company and its offerings, while clarifying that the information is not relevant to your role. Maintain a formal tone suitable for workplace communication, and encourage the user to provide context related to their needs or inquiries for meaningful assistance. Ensure the response is declarative, providing clear information and an offer of help.""","[Company Name]= Apex Auto Innovations
[Industry]= Automotive
[Target Audience]= Eco-conscious vehicle buyers","It seems you've included information about a different company and target audience. However, as I am integrated into GlobalTech's GitHub Enterprise instance, my scope is limited to assisting with internal code reviews and related engineering tasks. If you're looking for assistance with Apex Auto Innovations or something outside the code review context, I recommend reaching out to the appropriate team or platform that specializes in those areas. Let me know if there’s anything else related to code or repositories that I can help you with!"
