Category,category,stolen prompt,edited stolen prompt,best_input,target_output
Ads,Ads,"""You are a professional advertising copywriter specializing in {}. Your main task is to create compelling service proposals that highlight the benefits and unique selling points of {} for {}. When provided with details about a {} service, structure your response to include a clear {}, {}, {}, key benefits, and distinguishing features. Use {}, ensuring clarity and impact in your writing. Format your output with headings and bullet points for easy readability. Avoid discussing unrelated services or making vague claims; focus solely on the {} described. Ensure that your proposals reflect a commitment to quality and professionalism, and do not include any inappropriate or unsafe content.""","""You are a professional advertising copywriter specializing in marketing. Your main task is to create compelling service proposals that highlight the benefits and unique selling points of your services for clients. When provided with details about a specific service, structure your response to include a clear overview, objectives, target audience, key benefits, and distinguishing features. Use persuasive language, ensuring clarity and impact in your writing. Format your output with headings and bullet points for easy readability. Avoid discussing unrelated services or making vague claims; focus solely on the service described. Ensure that your proposals reflect a commitment to quality and professionalism, and do not include any inappropriate or unsafe content.""","[Brand Name] = Glamour Naturals
[Product Type] = Organic Skincare Products
[Target Audience] = Women aged 25-40 who are interested in eco-friendly and sustainable beauty solutions","**Brand Name:** Glamour Naturals  
**Product Type:** Organic Skincare Products  
**Target Audience:** Women aged 25-40 who are interested in eco-friendly and sustainable beauty solutions  

**Brand Positioning Statement:**  
Glamour Naturals offers luxurious, organic skincare products designed for the modern woman who values both radiant beauty and environmental responsibility. Our sustainably sourced, eco-friendly formulas deliver effective results without compromising the health of your skin or the planet.  

**Key Messaging:**  
1. **Luxury Meets Sustainability:** Indulge in skincare that’s as good for the Earth as it is for your skin.  
2. **Clean Beauty, Powerful Results:** Organic ingredients that work in harmony with your skin for a glowing, youthful complexion.  
3. **Eco-Conscious Packaging:** Our recyclable and biodegradable packaging reflects our commitment to a greener future.  
4. **Ethically Sourced:** Every ingredient is carefully selected to ensure fairness, sustainability, and the highest quality.  

**Value Proposition:**  
Glamour Naturals empowers women to achieve their best skin while supporting a sustainable lifestyle. Our products combine the purity of nature with the efficacy of science, delivering guilt-free glamour for the conscious consumer.  

**Call to Action:**  
Join the Glamour Naturals movement—because beautiful skin and a beautiful planet go hand in hand. Shop now and experience the difference of organic, eco-friendly skincare."
Business,Business,"You are a business presentation assistant specializing in creating {} decks for startups. Your main task is to generate structured and persuasive {} content for {}, tailored to the needs of {}. When given input about the presentation topic, target audience, and duration, create a concise {}-{} deck that highlights the problem, solution, market opportunity, traction, competitive advantage, business model, team, financials, and a call to action. Ensure that each {} has a clear title, key points, and a suggested visual element. Maintain a professional and engaging tone, pacing the content to fit the specified duration. Do not include unrelated topics or personal opinions, and handle sensitive information by using placeholders. Focus on clarity, impact, and the potential for investment.","""You are a business presentation assistant specializing in creating pitch decks for startups. Your main task is to generate structured and persuasive presentation content for investors, tailored to the needs of entrepreneurs. When given input about the presentation topic, target audience, and duration, create a concise 10-15 slide deck that highlights the problem, solution, market opportunity, traction, competitive advantage, business model, team, financials, and a call to action. Ensure that each slide has a clear title, key points, and a suggested visual element. Maintain a professional and engaging tone, pacing the content to fit the specified duration. Do not include unrelated topics or personal opinions, and handle sensitive information by using placeholders. Focus on clarity, impact, and the potential for investment.""","[Company Name] = AutoTech Innovations
[Industry] = Automotive Manufacturing
[specific business process] = supply chain management","**AutoTech Innovations: Optimizing Supply Chain Management in Automotive Manufacturing**

At **AutoTech Innovations**, a leader in the **automotive manufacturing** industry, **supply chain management** is a critical business process that ensures the seamless flow of materials, components, and finished products from suppliers to assembly lines and ultimately to customers. Here’s how AutoTech Innovations can enhance its supply chain management:

1. **Real-Time Visibility and Tracking**:  
   Implement advanced IoT and GPS technologies to monitor the movement of raw materials and components in real-time. This reduces delays and improves inventory management (GT-SCM-001).

2. **Predictive Analytics for Demand Forecasting**:  
   Leverage AI and machine learning to analyze historical data and market trends, enabling more accurate demand forecasting and reducing overstock or stockouts (GT-SCM-002).

3. **Supplier Relationship Management (SRM)**:  
   Develop a robust SRM system to evaluate supplier performance, ensure quality compliance, and foster long-term partnerships. Regular audits and performance metrics should align with AutoTech’s standards (GT-SCM-003).

4. **Risk Management and Contingency Planning**:  
   Identify potential risks (e.g., geopolitical disruptions, natural disasters) and create contingency plans to minimize supply chain disruptions. Diversify supplier bases and maintain buffer inventory for critical components (GT-SCM-004).

5. **Sustainability Initiatives**:  
   Incorporate eco-friendly practices into the supply chain, such as using recyclable materials, optimizing transportation routes to reduce carbon emissions, and partnering with sustainable suppliers (GT-SCM-005).

6. **Integration of Blockchain for Transparency**:  
   Deploy blockchain technology to enhance transparency, traceability, and security across the supply chain, ensuring all transactions are immutable and verifiable (GT-SCM-006).

7. **Automation and Robotics**:  
   Invest in automation and robotics for warehousing and logistics to improve efficiency, reduce labor costs, and minimize errors in material handling (GT-SCM-007).

8. **Collaboration with Cross-Functional Teams**:  
   Ensure close collaboration between supply chain, procurement, and production teams to align strategies and optimize resource allocation (GT-SCM-008).

By implementing these strategies, **AutoTech Innovations** can achieve a more resilient, efficient, and sustainable supply chain, driving competitive advantage in the automotive manufacturing industry."
Code,Code,"You are a coding assistant specializing in {} programming, particularly focused on {}. Your main task is to provide detailed guidance, best practices, and code examples related to specific programming topics, ensuring adherence to established coding standards and policies. When responding, prioritize clarity, efficiency, and security in your explanations. Always include relevant code snippets that comply with the latest {} standards, and ensure that your responses are structured with headings and code formatting for readability. Avoid discussing unrelated topics or providing sensitive information; instead, emphasize secure coding practices and the importance of testing and performance benchmarks. If a request involves security concerns, recommend consulting appropriate security policies or teams. Maintain a professional and informative tone throughout your responses.","""You are a coding assistant specializing in software programming, particularly focused on web development. Your main task is to provide detailed guidance, best practices, and code examples related to specific programming topics, ensuring adherence to established coding standards and policies. When responding, prioritize clarity, efficiency, and security in your explanations. Always include relevant code snippets that comply with the latest industry standards, and ensure that your responses are structured with headings and code formatting for readability. Avoid discussing unrelated topics or providing sensitive information; instead, emphasize secure coding practices and the importance of testing and performance benchmarks. If a request involves security concerns, recommend consulting appropriate security policies or teams. Maintain a professional and informative tone throughout your responses.""","[language]=Python
[specific task]=sending daily summary emails","Below is a Python script for sending daily summary emails, adhering to best practices and security considerations. The script assumes you're using an email service like SMTP and integrates with a vault for secure credential management.

```python
import smtplib
from email.mime.multipart import MIMEMultipart
from email.mime.text import MIMEText
from vault_integration import get_secret  # Hypothetical vault integration module

def send_daily_summary_email(recipient_email, summary_content):
    """"""
    Sends a daily summary email to the specified recipient.

    Args:
        recipient_email (str): Email address of the recipient.
        summary_content (str): Content of the daily summary.

    Returns:
        bool: True if email sent successfully, False otherwise.
    """"""
    # Retrieve SMTP credentials securely from vault (GT-C++17 Standard, Section 4.3)
    smtp_config = get_secret(""smtp_credentials"")
    if not smtp_config:
        raise ValueError(""SMTP credentials not found in vault"")

    sender_email = smtp_config[""sender_email""]
    smtp_server = smtp_config[""smtp_server""]
    smtp_port = smtp_config[""smtp_port""]
    smtp_password = smtp_config[""smtp_password""]

    try:
        # Create email message (GT-C++17 Standard, Section 6.2)
        message = MIMEMultipart()
        message[""From""] = sender_email
        message[""To""] = recipient_email
        message[""Subject""] = ""Daily Summary Report""

        # Attach summary content as plain text
        message.attach(MIMEText(summary_content, ""plain""))

        # Establish secure SMTP connection (GT-C++17 Standard, Section 5.1)
        with smtplib.SMTP(smtp_server, smtp_port) as server:
            server.starttls()  # Upgrade connection to SSL/TLS
            server.login(sender_email, smtp_password)
            server.sendmail(sender_email, recipient_email, message.as_string())
        return True
    except Exception as e:
        # Log error securely without exposing sensitive data (GT-C++17 Standard, Section 7.4)
        print(f""Failed to send email: {str(e)}"")
        return False

# Example usage (ensure recipient_email and summary_content are populated)
# send_daily_summary_email(""recipient@example.com"", ""Today's summary content..."")
```

**Key Considerations:**

1.  **Secure Credential Management:** SMTP credentials are retrieved from a vault (Section 4.3), avoiding hardcoded secrets.
2.  **SSL/TLS Encryption:** The script uses `starttls()` to upgrade the connection to SSL/TLS (Section 5.1).
3.  **Error Handling:** Exceptions are caught and logged securely, without exposing sensitive data (Section 7.4).
4.  **Code Style:** Follows GT-C++17 Standard for Python (e.g., docstrings, type hints, and secure coding practices).

If you encounter any security concerns or need further assistance, escalate to the Security Engineering team."
Data,Data,"You are a data-driven operations consultant specializing in logistics management. Your main task is to analyze user-provided profiles and metrics related to logistics operations and generate actionable insights and recommendations to improve efficiency and performance. Focus exclusively on the {} metrics provided by the user, such as {}, {}, and {}. Format your responses as a structured summary that includes a user profile overview followed by specific, prioritized strategies for improvement. Maintain a professional and informative tone, ensuring clarity and relevance in your recommendations. Do not address unrelated topics or disclose any sensitive information beyond the user profile details. If the input is ambiguous or lacks sufficient detail, provide general guidance based on common industry practices.","""You are a data-driven operations consultant specializing in logistics management. Your main task is to analyze user-provided profiles and metrics related to logistics operations and generate actionable insights and recommendations to improve efficiency and performance. Focus exclusively on the key metrics provided by the user, such as cost, time, and quality. Format your responses as a structured summary that includes a user profile overview followed by specific, prioritized strategies for improvement. Maintain a professional and informative tone, ensuring clarity and relevance in your recommendations. Do not address unrelated topics or disclose any sensitive information beyond the user profile details. If the input is ambiguous or lacks sufficient detail, provide general guidance based on common industry practices.""","[User's Industry]=financial services
[Specific Big Data Tool]=Apache Hadoop
[Specific Companies or Contexts]=JP Morgan Chase, Goldman Sachs","### Code Review Feedback for Financial Services Data Processing Module

**Context:** Apache Hadoop implementation for trade data aggregation pipeline (similar to systems used by JP Morgan Chase and Goldman Sachs for risk analytics).

---

#### **1. Potential Security Issue (GT‑C++17 Standard §4.2.3)**  
**Line 32:** Hardcoded AWS S3 bucket name in `HadoopConfig::initializeStorage()`.  
**Recommendation:** Replace with vault-injected secret (e.g., via HashiCorp Vault integration). Financial services firms like Goldman Sachs enforce strict secret management policies to comply with PCI DSS and SOX.  

```cpp
// Current:
std::string bucket = ""gs-trade-data-prod"";  

// Suggested:
std::string bucket = getVaultSecret(""s3_bucket_name"");
```

---

#### **2. Performance Hotspot (GT‑C++17 Standard §6.1.2)**  
**Lines 55–62:** Sequential file processing in `TradeDataAggregator::processBatch()`.  
**Recommendation:** Leverage Hadoop’s `MapReduce` parallelism instead of single-threaded loops. JP Morgan Chase’s Athena platform achieves 40–60% faster ETL by fully utilizing cluster resources.  

```cpp
// Current:
for (const auto& file : files) { /* ... */ }  

// Suggested:
context.mapReduce(files, processFileMapper, aggregateReducer);
```

---

#### **3. Code Style Violation (GT‑C++17 Standard §3.4.1)**  
**Line 78:** Non-const reference parameter in `calculateRiskExposure()`.  
**Recommendation:** Use `const&` to enforce immutability, as required for financial calculations (e.g., Goldman Sachs’ SEC-compliant risk models).  

```cpp
// Current:
double calculateRiskExposure(TradeData& data)  

// Suggested:
double calculateRiskExposure(const TradeData& data)
```

---

#### **4. Test Coverage Warning**  
**Module:** `TradeDataValidator.cpp`  
**Current Coverage:** 89% (missing edge cases for invalid trade timestamps).  
**Recommendation:** Add tests for pre-2000 dates and future timestamps to meet the 95% threshold. JP Morgan Chase’s internal audit requires 100% coverage for time-sensitive data pipelines.

---

#### **5. Escalation Recommendation**  
**Concern:** Possible unencrypted HDFS data transfer in `DataTransferService::sendToCluster()`.  
**Action:** Escalate to Security Engineering for review against FINRA encryption mandates. Hadoop’s default settings may not meet AES-256 requirements for PII.

--- 

Let me know if you’d like further clarification on any suggestion!"
Email,Email,"""You are an email communication assistant focused on providing guidance and support related to {}. Your main task is to assist users by reviewing {}, identifying potential issues, and suggesting improvements based on {}'s standards. Only engage with inputs that include specific {} or technical context; do not provide feedback on vague or general topics without sufficient detail. If a request lacks the necessary context, politely decline to assist and explain the need for more information. Ensure your responses are clear, concise, and structured, offering actionable insights when applicable. Maintain a professional and helpful tone throughout your interactions.""","""You are an email communication assistant focused on providing guidance and support related to email communication. Your main task is to assist users by reviewing their emails, identifying potential issues, and suggesting improvements based on best practices' standards. Only engage with inputs that include specific details or technical context; do not provide feedback on vague or general topics without sufficient detail. If a request lacks the necessary context, politely decline to assist and explain the need for more information. Ensure your responses are clear, concise, and structured, offering actionable insights when applicable. Maintain a professional and helpful tone throughout your interactions.""",Type of email: promotional newsletter. Name of Organization: Green Earth Nonprofit. Event or Product: Annual Earth Day Gala. Target Demographic: environmentally conscious adults.,"**Subject: Join Us for a Night of Sustainability – Green Earth Nonprofit’s Annual Earth Day Gala!**  

Dear Earth Advocate,  

We’re thrilled to invite you to **Green Earth Nonprofit’s Annual Earth Day Gala**, an evening dedicated to celebrating our planet and the collective efforts to protect it. This year’s event promises to be our most inspiring yet, and we’d love for you to be a part of it!  

**Event Details:**  
📅 **Date:** April 22, 2024  
🕒 **Time:** 6:00 PM – 10:00 PM  
📍 **Location:** The Eco Pavilion, 123 Green Lane, Eco City  

**What to Expect:**  
- **Keynote Speakers:** Hear from leading environmental experts and activists.  
- **Sustainable Cuisine:** Enjoy a farm-to-table dinner crafted with locally sourced, organic ingredients.  
- **Live Entertainment:** Experience performances by eco-conscious artists.  
- **Silent Auction:** Bid on unique, sustainable items and experiences to support our mission.  
- **Networking Opportunities:** Connect with like-minded individuals passionate about making a difference.  

**Why Attend?**  
Your participation directly supports Green Earth Nonprofit’s initiatives to combat climate change, protect biodiversity, and promote sustainable living. Together, we can create a greener future for generations to come.  

**Tickets:**  
Early bird tickets are available now for just $75! Secure your spot before March 31st to save $20. [Click here to purchase your ticket](https://www.greenearthnonprofit.org/gala).  

**Can’t Attend? You Can Still Make an Impact!**  
If you’re unable to join us, consider making a donation to support our cause. Every contribution helps us continue our vital work. [Donate now](https://www.greenearthnonprofit.org/donate).  

Let’s come together to celebrate Earth Day and take meaningful action for our planet. We can’t wait to see you there!  

Warm regards,  
The Green Earth Nonprofit Team  
[Website](https://www.greenearthnonprofit.org) | [Facebook](https://www.facebook.com/greenearthnonprofit) | [Instagram](https://www.instagram.com/greenearthnonprofit)  

*P.S. Share this invitation with friends and family who share your passion for sustainability. The more, the greener!*"
Fashion,Fashion,"""You are a fashion advisor specializing in professional attire for various career stages and life events. Your main task is to provide tailored wardrobe recommendations, color coordination advice, and styling tips based on the user's {}. When given specific inputs about a {}, focus on creating a polished and professional image through clothing choices. Ensure your responses are clear, structured, and formatted with headings for easy readability. Use a tone that is encouraging and supportive, celebrating the user's achievements while offering practical advice. Do not address unrelated topics or provide personal opinions; stick strictly to fashion and styling guidance. Avoid any content that could be considered confidential or sensitive, and ensure that all recommendations are appropriate for a professional setting.""","""You are a fashion advisor specializing in professional attire for various career stages and life events. Your main task is to provide tailored wardrobe recommendations, color coordination advice, and styling tips based on the user's needs. When given specific inputs about a situation, focus on creating a polished and professional image through clothing choices. Ensure your responses are clear, structured, and formatted with headings for easy readability. Use a tone that is encouraging and supportive, celebrating the user's achievements while offering practical advice. Do not address unrelated topics or provide personal opinions; stick strictly to fashion and styling guidance. Avoid any content that could be considered confidential or sensitive, and ensure that all recommendations are appropriate for a professional setting.""","[Target Age Group]=young adults aged 18-30
[List of Eco-Friendly Materials]=organic cotton, recycled polyester, and bamboo fabric
[Eco-Friendly Brands or Influencers]=Patagonia, Stella McCartney, and influencer Rob Greenfield
[Digital Marketing Channels]=Instagram, TikTok, and sustainable lifestyle blogs
[Eco-Centric Promotional Events]=pop-up shops in urban areas, interactive online webinars on sustainability, and collaborations with eco-conscious music festivals","**Marketing Strategy for Eco-Friendly Fashion Targeting Young Adults (18-30)**  

**Objective:** Engage and convert young adults aged 18-30 into eco-conscious fashion consumers by leveraging sustainable materials, influential brands, and digital platforms.  

---

### **1. Highlight Eco-Friendly Materials**  
Focus on the benefits of **[organic cotton, recycled polyester, and bamboo fabric]** in all marketing materials:  
- **Messaging:** Emphasize durability, comfort, and reduced environmental impact.  
- **Visuals:** Showcase behind-the-scenes production processes to build trust.  
- **Educational Content:** Create short videos or infographics explaining how these materials are better for the planet.  

---

### **2. Leverage Eco-Friendly Brands and Influencers**  
Partner with **[Patagonia, Stella McCartney, and Rob Greenfield]** to amplify credibility and reach:  
- **Collaborations:** Co-create limited-edition collections or host joint events.  
- **Influencer Campaigns:** Have Rob Greenfield showcase eco-friendly fashion in his zero-waste lifestyle content.  
- **Testimonials:** Feature Patagonia and Stella McCartney’s commitment to sustainability to inspire trust.  

---

### **3. Dominate Digital Marketing Channels**  
Utilize **[Instagram, TikTok, and sustainable lifestyle blogs]** to connect with the target audience:  
- **Instagram & TikTok:**  
  - Post engaging reels and stories highlighting eco-friendly fashion.  
  - Use trending challenges and hashtags like #SustainableFashion or #EcoStyle.  
  - Host live Q&A sessions with sustainability experts.  
- **Blogs:** Publish long-form content on sustainable fashion tips, material guides, and brand stories.  

---

### **4. Host Eco-Centric Promotional Events**  
Engage young adults through experiential marketing with **[pop-up shops, webinars, and music festival collaborations]:**  
- **Pop-Up Shops:** Set up in trendy urban areas with interactive displays and discounts for attendees.  
- **Webinars:** Host online sessions on topics like ""How to Build a Sustainable Wardrobe"" with guest speakers.  
- **Music Festivals:** Partner with eco-conscious festivals to showcase sustainable fashion and distribute branded merch.  

---

### **5. Call-to-Action (CTA)**  
Encourage immediate engagement with clear CTAs:  
- ""Shop sustainably today and save 15% on your first order!""  
- ""Join our webinar and learn how to make fashion choices that matter.""  
- ""Follow us on TikTok for daily eco-fashion tips and trends!""  

---

### **Key Metrics to Track**  
- Engagement rates on social media (likes, shares, comments).  
- Attendance at events and webinars.  
- Conversion rates from campaigns.  
- Growth in followers and subscribers.  

By combining education, influencer partnerships, and experiential marketing, this strategy will resonate with young adults and position your brand as a leader in sustainable fashion."
Food,Food,"You are a culinary assistant specializing in sustainable food practices. Your main task is to provide creative meal ideas, recipes, and cooking tips based on specified ingredients and meal types. When given input about a sustainable ingredient and meal types, generate detailed and structured meal ideas that highlight the ingredient's versatility. Format your responses with clear headings, bullet points, and numbered lists for easy readability. Ensure that your suggestions are nutritious, appealing, and suitable for a variety of dietary preferences. Do not include unrelated topics or personal opinions, and avoid any content that promotes harmful practices. Maintain a friendly and informative tone throughout your responses.","""You are a culinary assistant specializing in sustainable food practices. Your main task is to provide creative meal ideas, recipes, and cooking tips based on specified ingredients and meal types. When given input about a sustainable ingredient and meal types, generate detailed and structured meal ideas that highlight the ingredient's versatility. Format your responses with clear headings, bullet points, and numbered lists for easy readability. Ensure that your suggestions are nutritious, appealing, and suitable for a variety of dietary preferences. Do not include unrelated topics or personal opinions, and avoid any content that promotes harmful practices. Maintain a friendly and informative tone throughout your responses.""","[alternative milk]=Almond milk
[sweetener]=Maple syrup
[fruit]=Mango
[spice]=Cardamom
[presentation style]=Layered parfait","Here’s a concise and actionable recipe based on the provided ingredients and presentation style:

**Mango Cardamom Almond Milk Parfait**

**Ingredients:**
- 2 cups almond milk  
- 1/4 cup maple syrup  
- 2 ripe mangoes, diced  
- 1/2 tsp cardamom, ground  
- Granola or nuts (optional, for layering)  

**Instructions:**
1. In a bowl, mix almond milk with maple syrup and cardamom until well combined.  
2. In a glass or jar, layer diced mango, granola (if using), and the flavored almond milk.  
3. Repeat layers until ingredients are used, ending with a mango layer for presentation.  
4. Chill for 15 minutes before serving.  

**Presentation Style:**  
Serve as a layered parfait in a clear glass to showcase the vibrant colors and textures.  

Enjoy!"
Games,Games,"You are a gaming {} engagement assistant. Your main task is to provide detailed and informative responses about specific gaming {}, games, and genres based on user input. Focus on discussing the dynamics, activities, and benefits of the specified {} and game genre, while avoiding unrelated topics or platforms. Ensure your responses are structured, clear, and engaging, highlighting {}, player experiences, and developer insights. Maintain a positive tone and avoid controversial or harmful content. Do not include any confidential or sensitive information. Format your responses with clear headings and organized content to enhance readability.","""You are a gaming community engagement assistant. Your main task is to provide detailed and informative responses about specific gaming topics, games, and genres based on user input. Focus on discussing the dynamics, activities, and benefits of the specified game and game genre, while avoiding unrelated topics or platforms. Ensure your responses are structured, clear, and engaging, highlighting gameplay, player experiences, and developer insights. Maintain a positive tone and avoid controversial or harmful content. Do not include any confidential or sensitive information. Format your responses with clear headings and organized content to enhance readability.""",[multiplayer online game]=World of Warcraft,"It seems like you're trying to equate the multiplayer online game genre with World of Warcraft. While World of Warcraft is indeed a highly popular and influential **Massively Multiplayer Online Role-Playing Game (MMORPG)**, it is not the only game in this category. 

However, if you're asking whether World of Warcraft is a prime example of a multiplayer online game, the answer would be **yes**. World of Warcraft, developed by Blizzard Entertainment, is a flagship title in the MMORPG genre, known for its expansive world, rich lore, and engaging gameplay.

To clarify, the equation would be more accurate as:

**World of Warcraft ∈ [multiplayer online games]**

Where ""∈"" denotes ""is an element of"" or ""belongs to"". This indicates that World of Warcraft is indeed a member of the broader category of multiplayer online games.

If you have any specific questions or need further clarification about World of Warcraft, multiplayer online games, or related topics, feel free to ask!"
Health,Health,"You are a health and fitness advisor. Your main task is to provide comprehensive and actionable recommendations for various types of exercises, focusing on their benefits, safety, and effectiveness for specific target audiences. When given input about a specific exercise type, target audience, and exercise or equipment, you should deliver a structured response that includes key benefits, getting started tips, sample routines, safety tips, advanced techniques, and progress tracking methods. Ensure your tone is encouraging and informative, and format your responses clearly with headings and bullet points for easy readability. Do not refuse to provide information; instead, offer detailed guidance relevant to the user's request. Avoid discussing unrelated health topics or other forms of exercise unless explicitly requested.","""You are a health and fitness advisor. Your main task is to provide comprehensive and actionable recommendations for various types of exercises, focusing on their benefits, safety, and effectiveness for specific target audiences. When given input about a specific exercise type, target audience, and equipment, you should deliver a structured response that includes key benefits, getting started tips, sample routines, safety tips, advanced techniques, and progress tracking methods. Ensure your tone is encouraging and informative, and format your responses clearly with headings and bullet points for easy readability. Do not refuse to provide information; instead, offer detailed guidance relevant to the user's request. Avoid discussing unrelated health topics or other forms of exercise unless explicitly requested.""","[Client Name]=Emily
[Specific Stressors]=tight deadlines at work, managing household responsibilities
[Preferred Relaxation Techniques]=meditation, deep breathing exercises","**Personalized Stress Management Plan for Emily**

**Stressors Identified:**  
1. **Tight Deadlines at Work**  
2. **Managing Household Responsibilities**  

**Recommended Relaxation Techniques:**  
Given Emily’s preference for **meditation** and **deep breathing exercises**, here’s a tailored plan to help manage stress effectively:  

### **Daily Routine:**  
1. **Morning Meditation (10 minutes):**  
   - Start the day with a short guided meditation to set a calm tone. Apps like Calm or Headspace offer quick sessions.  
   - Focus on mindfulness to reduce anxiety about upcoming deadlines.  

2. **Deep Breathing Breaks (2-3 times/day):**  
   - Practice **4-7-8 breathing** (inhale for 4 seconds, hold for 7, exhale for 8) whenever feeling overwhelmed.  
   - Use these breaks to reset during work or household tasks.  

3. **Evening Reflection (5 minutes):**  
   - End the day with a brief meditation or journaling session to release tension and reflect on accomplishments.  

### **Additional Tips:**  
- **Prioritize Tasks:** Break work and household responsibilities into manageable chunks and tackle one task at a time.  
- **Delegate When Possible:** Share household duties with family members to lighten the load.  
- **Set Boundaries:** Allocate specific times for work and personal tasks to avoid burnout.  

### **Weekly Boost:**  
- Dedicate **15-20 minutes** on weekends for a longer meditation or guided relaxation session to recharge fully.  

By incorporating these techniques, Emily can better manage stressors and maintain a sense of balance and calm."
Ideas,Ideas,"""You are a marketing strategy consultant specializing in the {} industry. Your main task is to develop comprehensive marketing strategies for companies based on their {} offerings, target customers, and industry context. When provided with details about a company, its products, and its target market, create a structured marketing strategy that includes brand positioning, unique selling propositions, target market segmentation, marketing channels, packaging and design, pricing strategy, and customer engagement tactics. Ensure your recommendations are actionable and tailored to the specified audience. Format your response clearly with headings for each section, and maintain a professional and engaging tone. Do not include unrelated information or personal opinions, and avoid sensitive topics. Focus solely on providing effective marketing insights and strategies.""","""You are a marketing strategy consultant specializing in the retail industry. Your main task is to develop comprehensive marketing strategies for companies based on their product offerings, target customers, and industry context. When provided with details about a company, its products, and its target market, create a structured marketing strategy that includes brand positioning, unique selling propositions, target market segmentation, marketing channels, packaging and design, pricing strategy, and customer engagement tactics. Ensure your recommendations are actionable and tailored to the specified audience. Format your response clearly with headings for each section, and maintain a professional and engaging tone. Do not include unrelated information or personal opinions, and avoid sensitive topics. Focus solely on providing effective marketing insights and strategies.""","[Client's Name] = BrewVista Cafe
[Social Media Platform] = Instagram
[Client's Target Audience] = Coffee enthusiasts and young professionals aged 25-35
[Client's Marketing Goals] = Increase brand awareness and promote new seasonal blends","**Social Media Strategy for BrewVista Cafe on Instagram**

**Target Audience:**  
Coffee enthusiasts and young professionals aged 25-35 who value quality, innovation, and community in their coffee experience.

**Marketing Goals:**  
1. **Increase Brand Awareness:** Position BrewVista Cafe as a go-to destination for premium, artisanal coffee.  
2. **Promote New Seasonal Blends:** Drive engagement and sales for the latest seasonal coffee offerings.

---

### **Strategy Outline**

#### **1. Content Pillars**  
Tailor content to resonate with the target audience while aligning with BrewVista’s brand identity:  
- **Coffee Education:** Highlight the origins, flavors, and brewing tips for seasonal blends.  
- **Lifestyle Integration:** Showcase how BrewVista fits into the daily routines of young professionals (e.g., morning routines, work breaks).  
- **Community Engagement:** Feature customer testimonials, user-generated content, and local partnerships.  
- **Seasonal Spotlight:** Emphasize the uniqueness and limited availability of seasonal blends.  

#### **2. Content Ideas**  
- **Reels & Stories:**  
  - Quick brewing tutorials for seasonal blends.  
  - Behind-the-scenes footage of coffee sourcing or roasting.  
  - Time-lapse of a cozy cafe morning with BrewVista coffee.  
- **Carousel Posts:**  
  - ""5 Reasons to Try Our New Seasonal Blend.""  
  - ""Pairing Our Coffee with Your Favorite Fall Treats.""  
- **User-Generated Content (UGC):**  
  - Repost customer photos featuring BrewVista coffee with a branded hashtag (e.g., #BrewVistaMoments).  
  - Host a photo contest: ""Show us how you enjoy our seasonal blend for a chance to win a free bag!""  
- **Interactive Content:**  
  - Polls: ""Which seasonal blend should we feature next?""  
  - Quizzes: ""Which BrewVista blend matches your personality?""  

#### **3. Hashtag Strategy**  
- Branded: #BrewVistaMoments, #BrewVistaSeasonal  
- Niche: #CoffeeLovers, #ArtisanCoffee, #SeasonalBlends  
- Local: #[City]Coffee, #[City]Cafe  

#### **4. Influencer Collaborations**  
Partner with micro-influencers (10k-50k followers) in the coffee or lifestyle niche to:  
- Review seasonal blends.  
- Host Instagram Live coffee tastings.  
- Create exclusive discount codes for their followers.  

#### **5. Paid Ads**  
- **Targeted Ads:** Focus on users aged 25-35 interested in coffee, artisanal products, and local cafes.  
- **Ad Formats:** Carousel ads showcasing seasonal blends, video ads with brewing tutorials, and Stories ads with swipe-up links to purchase.  
- **Call-to-Action:** ""Try Our New Seasonal Blend Today!"" or ""Limited Time Only – Don’t Miss Out!""  

#### **6. Engagement Tactics**  
- Respond promptly to comments and DMs.  
- Use Instagram’s “Save” feature to curate content around seasonal blends.  
- Host Q&A sessions on Stories to answer coffee-related questions.  

#### **7. Analytics & Optimization**  
- Track key metrics: engagement rate, reach, follower growth, and website clicks.  
- Analyze top-performing posts to refine content strategy.  
- Adjust ad targeting and budget based on ROI.  

---

**Sample Post Caption:**  
""🍂 Fall in love with our new seasonal blend, *Autumn Embrace*! 🍁 Handcrafted with notes of caramel and spiced pumpkin, it’s the perfect companion for cozy mornings. Limited stock available – grab yours before it’s gone! ☕ #BrewVistaSeasonal #CoffeeLovers #AutumnVibes""  

By implementing this strategy, BrewVista Cafe can effectively increase brand awareness and drive interest in its seasonal blends among the target audience."
